model_name,dataset,policy,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
meta-llama/Llama-2-7b-hf,short_long,fcfs,3117.33,2604.6781042207817,0.1109940665126824,2931.3628897441877,0.09623620213451897,423.8213471143575,400.0330410960662,1883.1390505629686,785,39729.0
meta-llama/Llama-2-7b-hf,short_long,sjf,3069.1,2393.521547984276,0.12303988112095605,2954.1024949667185,0.09774852562640514,430.4815744029194,406.3194421817471,2380.3481390829056,324,39729.0
meta-llama/Llama-2-7b-hf,short_long,ljf,2959.69,2794.2963780340133,0.10844288428596273,2870.025710668415,0.10136196696275623,446.3950616449696,421.33973490466906,2053.4070320917062,492,39723.0
meta-llama/Llama-2-7b-hf,short_long,prompt_len_sjf,3127.09,2621.7755933098865,0.12226641775130499,3012.271485562446,0.09593583811147105,422.49855296777514,398.78449293112766,2568.814051465541,281,39681.0
meta-llama/Llama-2-7b-hf,short_long,prefill_aging_fairness,3146.63,2640.6908712386057,0.11278197586608142,2962.527204749295,0.09534009400533269,419.874913796665,396.30811375980016,1920.7710781321116,778,39729.0
meta-llama/Llama-2-7b-hf,short_long,vtc_fairness,3071.81,2752.8376570607534,0.12172490637073004,3002.968643138674,0.09766229031092417,430.10179666060077,405.9609806596111,1882.369242090676,283,39725.0
meta-llama/Llama-2-7b-hf,short_long,skip_join_mlfq,3024.17,2775.6751106597485,0.12265021097753023,2985.6724524207507,0.09920077244334809,436.8772258173317,412.35611754630196,1968.572506668833,283,39761.0
meta-llama/Llama-2-7b-hf,short_long,least_laxity_first,3166.59,2673.6766306605377,0.12279303123366211,3047.7475592819833,0.09473913578960333,417.2283118433393,393.8100606646266,2620.058196454747,290,39713.0
meta-llama/Llama-2-7b-hf,short_long,hybrid,3023.36,2396.1234657310697,0.12116104727471778,2949.7849759694986,0.09922734970364097,436.99427127434376,412.46659345893306,2323.3584866863675,446,39795.0
meta-llama/Llama-2-7b-hf,short_long,adaptive_io_aging,3011.31,2552.392749134507,0.11197207206468791,2829.835574663472,0.09962441595186149,438.7429391195194,414.11711182176526,1876.407558231643,765,39689.0
meta-llama/Llama-2-7b-hf,short_short,fcfs,105.61,1.3352615490416058,0.06215414155973119,15.708706102790309,2.8406400909004828,1136.9472587823122,404.3083041378657,1.2734498251089819,0,39415.0
meta-llama/Llama-2-7b-hf,short_short,sjf,107.76,1.3039827758399762,0.06416481141000972,16.25283852128312,2.7839643652561246,1114.2631774313288,396.2416481069042,1.240038596792146,0,39415.0
meta-llama/Llama-2-7b-hf,short_short,ljf,106.99,1.361414813557639,0.06618786210194222,16.404584147878918,2.8040003738667165,1122.2824563043275,399.09337321244976,1.29687082955148,0,39415.0
meta-llama/Llama-2-7b-hf,short_short,prompt_len_sjf,105.19,1.2221665214654052,0.06064604187151415,14.664773424467997,2.851982127578667,1141.4868333491777,405.9226162182717,1.157881607245653,0,39415.0
meta-llama/Llama-2-7b-hf,short_short,prefill_aging_fairness,107.26,1.3616235424112522,0.0632193121523595,16.3918108093692,2.796942010068991,1119.4573932500466,398.0887562931195,1.297207773011177,0,39415.0
meta-llama/Llama-2-7b-hf,short_short,vtc_fairness,105.06,1.3750523625826456,0.06801809135591604,16.23941243168432,2.8555111364934325,1142.8992956405864,406.4249000571102,1.310795711069367,0,39415.0
meta-llama/Llama-2-7b-hf,short_short,skip_join_mlfq,107.09,1.355466767428442,0.0673338149464688,16.76945886286441,2.8013820151274627,1121.234475674666,398.7207022130918,1.2917823069496073,0,39415.0
meta-llama/Llama-2-7b-hf,short_short,least_laxity_first,107.0,1.3558498982107259,0.0646530127362347,16.016783557799645,2.803738317757009,1122.177570093458,399.05607476635515,1.2919090257398778,0,39415.0
meta-llama/Llama-2-7b-hf,short_short,hybrid,105.8,1.338911435310728,0.06488336701178925,16.23438048275653,2.835538752362949,1134.905482041588,403.58223062381853,1.276178010418079,0,39415.0
meta-llama/Llama-2-7b-hf,short_short,adaptive_io_aging,107.34,1.2842260707402595,0.07760816121008242,16.359536740193143,2.794857462269424,1118.6230668902551,397.79206260480714,1.2198166278796263,0,39415.0
01-ai/Yi-6B,long_long,fcfs,1960.01,1106.3917872185257,0.17374585845931442,1850.910075699296,0.15306044356916546,1454.5849255871144,663.5762062438457,1102.795783334812,19,39809.0
01-ai/Yi-6B,long_long,sjf,1992.33,1136.8619634884642,0.17638916518136943,1885.9377685609227,0.15057746457665147,1430.988340284993,652.811532226087,1133.227684481861,10,39809.0
01-ai/Yi-6B,long_long,ljf,1982.89,1134.8678008042882,0.17217759434900423,1875.1512985600766,0.15129432293268916,1437.8008865847323,655.9193903847414,1131.3864681771909,29,39809.0
01-ai/Yi-6B,long_long,prompt_len_sjf,2000.47,1149.6376653478294,0.176071965830836,1892.5888186541385,0.14996475828180378,1425.1655860872695,650.1552135248216,1146.1573906633118,10,39809.0
01-ai/Yi-6B,long_long,prefill_aging_fairness,1934.04,1115.3963052148047,0.17489586700458995,1826.7981193640082,0.15511571632437798,1474.1168745217265,672.4866083431573,1111.8290894850807,19,39809.0
01-ai/Yi-6B,long_long,vtc_fairness,1992.45,1133.0575037708645,0.17611153434414628,1883.4970144306262,0.1505683956937439,1430.9021556375317,652.772215112048,1129.325690661217,10,39809.0
01-ai/Yi-6B,long_long,skip_join_mlfq,1982.58,1148.626382094659,0.17728322344278732,1874.5694966204414,0.15131797960233637,1438.0257038808018,656.0219511949076,1144.9327133752222,8,39809.0
01-ai/Yi-6B,long_long,least_laxity_first,2012.11,1146.6489718036307,0.17555140507310757,1904.0638167205313,0.14909721635497067,1416.9210430841256,646.3940838224551,1143.1121268772613,14,39809.0
01-ai/Yi-6B,long_long,hybrid,1996.98,1139.0830409686453,0.176040724138225,1889.8746380916007,0.15022684253222365,1427.6562609540406,651.2914500896353,1135.3865236730455,18,39809.0
01-ai/Yi-6B,long_long,adaptive_io_aging,1982.02,1144.1264451088384,0.17372399460074517,1877.2172956592872,0.15136073298957628,1438.4320037133834,656.2073036599025,1140.5794038930908,19,39809.0
01-ai/Yi-6B,long_short,fcfs,253.55,136.53900398844388,0.08226125220917163,160.2341581553174,1.1831985801617038,6381.5105501873395,304.582922500493,134.92475211419628,0,39523.0
01-ai/Yi-6B,long_short,sjf,252.07,134.9588776752539,0.08227837930806545,158.29144925172906,1.1901455944777244,6418.9788550799385,306.37124608243744,133.3530490103131,0,39523.0
01-ai/Yi-6B,long_short,ljf,253.02,136.10386947815772,0.08108083706179797,159.5644292856427,1.1856770215793218,6394.877875266777,305.2209311516876,134.5080559621099,0,39523.0
01-ai/Yi-6B,long_short,prompt_len_sjf,255.42,138.05451299089006,0.08404948343875619,161.54610273926053,1.1745360582569886,6334.789758045572,302.3529872367082,136.43622594461775,0,39523.0
01-ai/Yi-6B,long_short,prefill_aging_fairness,247.79,130.75719841273036,0.07928820135332638,154.23934958799276,1.2107026110819645,6529.851890713911,311.6631018200896,129.17099628428463,0,39523.0
01-ai/Yi-6B,long_short,vtc_fairness,246.92,130.64276181941386,0.07927730461245992,153.4048055427894,1.2149684108213188,6552.859225660133,312.7612182083266,129.03484079323243,0,39523.0
01-ai/Yi-6B,long_short,skip_join_mlfq,252.18,135.16929702739696,0.08143814629390836,158.47601480058856,1.1896264572924102,6416.178919819176,306.2376080577365,133.56936501957472,0,39523.0
01-ai/Yi-6B,long_short,least_laxity_first,253.11,136.51222762319725,0.08064253906965418,159.58422967146615,1.185255422543558,6392.6040061633275,305.1124017225712,134.91882774587253,0,39523.0
01-ai/Yi-6B,long_short,hybrid,250.67,133.75368850757368,0.07995427559615308,157.1297465930134,1.1967925958431405,6454.829058124227,308.08233933059404,132.15440632507205,0,39523.0
01-ai/Yi-6B,long_short,adaptive_io_aging,251.32,135.0918559040455,0.08177634379538613,157.2873924836656,1.1936972783702053,6438.134649053,307.28553238898616,133.5172240947466,0,39523.0
01-ai/Yi-6B,mixed,fcfs,946.47,101.75258935063142,0.13526546823280564,865.6589918883424,0.3169672572823227,1537.8057413335869,697.4727144019356,101.25825007000473,0,39667.0
01-ai/Yi-6B,mixed,sjf,928.01,96.39383673673957,0.13621421689618654,846.6776139109721,0.32327237853040375,1568.3958147002727,711.3468604864172,95.89919997246469,0,39667.0
01-ai/Yi-6B,mixed,ljf,953.7,101.25964785393789,0.14208033455906782,872.2430952491238,0.31456432840515886,1526.147635524798,692.1851735346545,100.76384683651384,0,39667.0
01-ai/Yi-6B,mixed,prompt_len_sjf,892.87,103.63103511997497,0.142722259821802,812.316096916534,0.33599516166967197,1630.121966243686,739.3427934637741,103.13453569997102,0,39667.0
01-ai/Yi-6B,mixed,prefill_aging_fairness,951.48,102.78235168907324,0.14201591635671865,870.410569869685,0.3152982721654685,1529.708454197671,693.8001849749863,102.28523985106962,0,39667.0
01-ai/Yi-6B,mixed,vtc_fairness,931.22,89.62211619886102,0.12115315102455945,850.1593036495102,0.32215802925194903,1562.9894117394385,708.8947831876463,89.14788233644329,0,39667.0
01-ai/Yi-6B,mixed,skip_join_mlfq,926.38,92.67209301481489,0.13028772870140518,845.2622514399094,0.32384118828126685,1571.1554653597875,712.5985016947689,92.19259614874609,0,39667.0
01-ai/Yi-6B,mixed,least_laxity_first,929.46,97.65711507443338,0.135575703407384,848.7370122627867,0.32276805887289395,1565.9490456824392,710.2371269339186,97.1749651350919,0,39667.0
01-ai/Yi-6B,mixed,hybrid,956.03,101.23534150066318,0.13628182287151938,874.5947646971792,0.3137976841730908,1522.4281664801315,690.4982061232388,100.73939183669167,0,39667.0
01-ai/Yi-6B,mixed,adaptive_io_aging,858.12,94.40731706449759,0.13859036405888786,777.4652192877326,0.3496014543420501,1696.1345732531581,769.2828508833263,93.93548975318669,0,39667.0
01-ai/Yi-6B,short_long,fcfs,1115.49,82.56843949569853,0.14397240983181467,1012.7379082172504,0.2689401070381626,1184.404163192857,1117.925754601117,82.32054188007952,0,41379.0
01-ai/Yi-6B,short_long,sjf,1098.61,81.18180527055168,0.14298234919379196,999.9832126326299,0.2730723368620348,1202.6023793702952,1135.1025386624917,80.93453075093214,0,41379.0
01-ai/Yi-6B,short_long,ljf,1104.97,84.45347377513069,0.14336897005842578,1005.616018968895,0.271500583726255,1195.6804257129152,1128.569101423568,84.19168098397552,0,41379.0
01-ai/Yi-6B,short_long,prompt_len_sjf,1098.93,87.35593850165606,0.14162302233961596,997.6321798646823,0.2729928202888264,1202.2521907673827,1134.7720054962554,87.08245304346084,0,41379.0
01-ai/Yi-6B,short_long,prefill_aging_fairness,1084.22,83.52567076375705,0.14041388984584982,984.4822114758333,0.2766966113888325,1218.5635756580768,1150.1678626109092,83.2670684816688,0,41379.0
01-ai/Yi-6B,short_long,vtc_fairness,1080.79,69.06760467761191,0.13898701673811015,978.3522897222638,0.2775747369979367,1222.4308144968034,1153.8180405074067,68.84968470329413,0,41379.0
01-ai/Yi-6B,short_long,skip_join_mlfq,1112.18,87.1790404622117,0.14384590319942084,1013.2478111731307,0.26974050962973617,1187.9291121940691,1121.2528547537268,86.91285833720583,0,41379.0
01-ai/Yi-6B,short_long,least_laxity_first,1083.07,84.47000284817068,0.13979108666018022,982.5922065966296,0.27699040689890775,1219.8574422705829,1151.389106890598,84.21012683581093,0,41379.0
01-ai/Yi-6B,short_long,hybrid,1084.56,74.0203647196106,0.14044736118600265,987.7019229220227,0.27660986944014165,1218.1815667183005,1149.80729512429,73.76221262350207,0,41379.0
