model,chunk_size,qps,total_time,status,sequence_metrics_csv,output_dir
mixtral,256,1,291.34,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_1_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_1_qps_mixtral
mixtral,512,1,287.95,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_1_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_1_qps_mixtral
mixtral,1024,1,289.05,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_1_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_1_qps_mixtral
mixtral,2048,1,287.61,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_1_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_1_qps_mixtral
mixtral,3072,1,286.83,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_1_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_1_qps_mixtral
mixtral,4096,1,287.98,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_1_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_1_qps_mixtral
mixtral,128,5,388.30,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_5_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_5_qps_mixtral
mixtral,256,5,226.95,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_5_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_5_qps_mixtral
mixtral,512,5,141.48,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_5_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_5_qps_mixtral
mixtral,1024,5,110.65,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_5_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_5_qps_mixtral
mixtral,2048,5,87.97,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_5_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_5_qps_mixtral
mixtral,3072,5,89.52,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_5_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_5_qps_mixtral
mixtral,4096,5,87.01,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_5_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_5_qps_mixtral
mixtral,128,10,394.02,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_10_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_10_qps_mixtral
mixtral,256,10,223.76,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_10_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_10_qps_mixtral
mixtral,512,10,145.24,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_10_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_10_qps_mixtral
mixtral,1024,10,109.19,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_10_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_10_qps_mixtral
