model,chunk_size,qps,total_time,status,sequence_metrics_csv,output_dir
llama,3072,20,330.97,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_3072_poison_20_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_3072_poison_20_qps_llama
llama,4096,20,337.91,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_4096_poison_20_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_4096_poison_20_qps_llama
mistral,128,1,400.52,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_128_poison_1_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_128_poison_1_qps_mistral
mistral,256,1,312.41,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_256_poison_1_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_256_poison_1_qps_mistral
mistral,512,1,310.91,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_512_poison_1_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_512_poison_1_qps_mistral
mistral,1024,1,312.03,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_1024_poison_1_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_1024_poison_1_qps_mistral
mistral,2048,1,313.11,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_2048_poison_1_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_2048_poison_1_qps_mistral
mistral,3072,1,313.87,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_3072_poison_1_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_3072_poison_1_qps_mistral
mistral,4096,1,315.06,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_4096_poison_1_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_4096_poison_1_qps_mistral
mistral,128,5,404.28,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_128_poison_5_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_128_poison_5_qps_mistral
