model_safe,dataset,policy,total_time,status,sequence_metrics_csv,output_dir
llama2_7b,mixed,hybrid,2736.51,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_hybrid_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_hybrid_chunk512_qps3_n300
llama2_7b,mixed,adaptive_io_aging,2712.53,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_adaptive_io_aging_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_mixed_sched_policy_adaptive_io_aging_chunk512_qps3_n300
llama2_7b,short_long,fcfs,3117.33,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_fcfs_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_fcfs_chunk512_qps3_n300
llama2_7b,short_long,sjf,3069.10,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_sjf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_sjf_chunk512_qps3_n300
llama2_7b,short_long,ljf,2959.69,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_ljf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_ljf_chunk512_qps3_n300
llama2_7b,short_long,prompt_len_sjf,3127.09,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_prompt_len_sjf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_prompt_len_sjf_chunk512_qps3_n300
llama2_7b,short_long,prefill_aging_fairness,3146.63,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_prefill_aging_fairness_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_prefill_aging_fairness_chunk512_qps3_n300
llama2_7b,short_long,vtc_fairness,3071.81,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_vtc_fairness_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_vtc_fairness_chunk512_qps3_n300
llama2_7b,short_long,skip_join_mlfq,3024.17,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_skip_join_mlfq_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_skip_join_mlfq_chunk512_qps3_n300
llama2_7b,short_long,least_laxity_first,3166.59,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_least_laxity_first_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_least_laxity_first_chunk512_qps3_n300
