model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
mixtral,4096,10,85.67,35.64966541519563,0.21278942900651865,77.04070290734177,3.501809268121863,31321.617835881872,776.4561690206607,34.703363223044434,0,39892.0
mixtral,128,15,398.25,373.4585325570986,0.04116062125722751,381.5152155631513,0.7532956685499058,6737.785310734464,167.02824858757063,369.83615681950465,0,39886.0
mixtral,256,15,224.01,200.56381447475113,0.045595657026586835,209.62009288068046,1.3392259274139549,11978.58577742065,296.9465648854962,198.78819408365757,0,39904.0
mixtral,512,15,143.44,119.062838824059,0.05717927097750834,130.1035950745287,2.0914668153931957,18706.936698271053,463.7409369771333,117.99573238349053,0,39906.0
mixtral,1024,15,112.72,83.42115837675344,0.08183345145015448,99.56174025073241,2.6614620298083747,23805.207594038326,590.1259758694109,82.27340182743734,0,39904.0
mixtral,2048,15,86.66,53.991276473430915,0.1183825766090895,77.19835583886248,3.4618047542118626,30963.801061620125,767.5859681513963,53.13355966760311,0,39906.0
mixtral,3072,15,87.72,52.829659620517056,0.17538362182414025,79.47020272630849,3.4199726402188784,30589.637482900136,758.3105335157319,51.8641741061816,0,39900.0
mixtral,4096,15,87.71,45.44833006150962,0.2137050266673063,80.39763115368318,3.420362558431194,30593.125071257557,758.3969900809486,44.42042668562731,0,39892.0
mixtral,128,20,396.67,377.2706462654221,0.041620887816123234,384.63050305579446,0.7562961655784405,6764.622986361459,167.6935487937076,373.9737049506995,0,39886.0
mixtral,256,20,226.31,208.04828192191198,0.0470473842504341,216.47730475662917,1.3256153064380716,11856.846803057753,293.92868189651364,206.30409704112913,0,39904.0
mixtral,512,20,146.45,126.30318738930218,0.05814781937331007,137.60229032283067,2.04848071013998,18322.451348583134,454.2096278593377,124.92611341690817,0,39906.0
mixtral,1024,20,109.14,85.53689073123212,0.07897213344078574,100.89347286328965,2.748763056624519,24586.063771302914,609.4832325453546,84.44754717869334,0,39904.0
mixtral,2048,20,90.41,62.60108088834793,0.12514299763603232,83.64648692037036,3.3182170113925453,29679.493418869595,735.7482579360691,61.75868978722428,0,39906.0
