model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
mixtral,1024,5,120.75,7.251329058599222,0.09929182782508705,83.67415338910097,2.484472049689441,6571.395445134575,1094.393374741201,6.948929547372099,0,39521.0
mixtral,2048,5,115.53,2.7287363240343985,0.09322750559829537,79.07648018729537,2.596728122565567,6868.311261144291,1143.8414264693154,2.605285958919412,0,39441.0
mixtral,3072,5,117.41,3.161186855677224,0.10381917463573191,85.07457812992709,2.5551486244783237,6758.33404309684,1125.5259347585386,3.0281994265620598,0,39443.0
mixtral,4096,5,116.73,3.1424223064541006,0.1058298456626252,84.58591112046429,2.5700334104343354,6797.704103486679,1132.0825837402554,3.0004567380363,0,39431.0
mixtral,128,10,376.34,321.1093783209509,0.06382089533194325,351.440917531231,0.797151511930701,2108.4551203698784,351.13992666206093,320.9887048709196,0,39409.0
mixtral,256,10,227.63,163.56670347379418,0.0713674391553078,198.9004103821916,1.3179282168431226,3485.902561173835,580.5385933312832,163.32416393901906,0,39425.0
mixtral,512,10,143.95,75.09366021266469,0.07909148876253032,117.33800447074695,2.084056964223689,5512.302882945468,918.0131990274401,74.98703135802643,0,39457.0
mixtral,1024,10,117.08,32.53471165481606,0.10100921266638056,92.31228824866454,2.5623505295524427,6777.382985992484,1128.6983259309873,32.367877238310754,0,39511.0
mixtral,2048,10,101.35,4.891257498183549,0.11552061778187514,86.83056582657896,2.960039467192896,7829.264923532314,1303.8776517020228,4.746496688911138,0,39547.0
mixtral,3072,10,100.28,3.2951496313387176,0.11667642264857384,87.52367741369642,2.9916234543278817,7912.804148384524,1317.7901874750698,3.1839091648838074,0,39559.0
mixtral,4096,10,96.99,3.053001749958057,0.12673946744641923,83.66617961869079,3.093102381688834,8181.214558201877,1362.4909784513868,2.935746476081549,0,39431.0
mixtral,128,15,365.33,320.37670428758224,0.061453926745381374,349.4534868031258,0.8211753756877345,2171.9979196890486,361.72227848794245,320.2453073055607,0,39409.0
mixtral,256,15,232.04,177.1398450756182,0.07187828505563727,211.23323185816113,1.2928805378383037,3419.6517841751424,569.5052577141872,177.00281079869325,0,39425.0
mixtral,512,15,158.83,93.91971246789049,0.0861818516183798,139.7179617536832,1.8888119372914436,4995.882389976704,832.0090662972989,93.70937726061602,0,39457.0
mixtral,1024,15,119.64,42.58229595452387,0.0995768252208964,101.31846118933827,2.507522567703109,6632.3637579404885,1104.5469742561015,42.465785920974305,0,39511.0
mixtral,2048,15,98.03,13.271168140413938,0.10818767102640456,85.69626281376667,3.060287667040702,8094.420075487095,1348.036315413649,13.14518753237571,0,39547.0
mixtral,3072,15,94.44,6.30216299355903,0.1266861311328438,85.86377598900027,3.176620076238882,8402.117746717493,1399.2799661160525,6.206353185015176,0,39557.0
