chunk=512,qps=3,n=300,model_name,dataset,policy,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
,,,01-ai/Yi-6B,mixed,hybrid,956.03,101.2353,0.136282,874.5948,0.313798,1522.428,690.4982,100.7394,0,39667
,,,01-ai/Yi-6B,mixed,adaptive_io_aging,858.12,94.40732,0.13859,777.4652,0.349601,1696.135,769.2829,93.93549,0,39667
,,,01-ai/Yi-6B,short_long,fcfs,1115.49,82.56844,0.143972,1012.738,0.26894,1184.404,1117.926,82.32054,0,41379
,,,01-ai/Yi-6B,short_long,sjf,1098.61,81.18181,0.142982,999.9832,0.273072,1202.602,1135.103,80.93453,0,41379
,,,01-ai/Yi-6B,short_long,ljf,1104.97,84.45347,0.143369,1005.616,0.271501,1195.68,1128.569,84.19168,0,41379
,,,01-ai/Yi-6B,short_long,prompt_len_sjf,1098.93,87.35594,0.141623,997.6322,0.272993,1202.252,1134.772,87.08245,0,41379
,,,01-ai/Yi-6B,short_long,prefill_aging_fairness,1084.22,83.52567,0.140414,984.4822,0.276697,1218.564,1150.168,83.26707,0,41379
,,,01-ai/Yi-6B,short_long,vtc_fairness,1080.79,69.0676,0.138987,978.3523,0.277575,1222.431,1153.818,68.84968,0,41379
,,,01-ai/Yi-6B,short_long,skip_join_mlfq,1112.18,87.17904,0.143846,1013.248,0.269741,1187.929,1121.253,86.91286,0,41379
,,,01-ai/Yi-6B,short_long,least_laxity_first,1083.07,84.47,0.139791,982.5922,0.27699,1219.857,1151.389,84.21013,0,41379
,,,01-ai/Yi-6B,short_long,hybrid,1084.56,74.02036,0.140447,987.7019,0.27661,1218.182,1149.807,73.76221,0,41379
,,,01-ai/Yi-6B,short_long,adaptive_io_aging,1092.7,84.74108,0.141065,993.4084,0.274549,1209.107,1141.242,84.48259,0,41379
,,,01-ai/Yi-6B,short_short,fcfs,107.14,1.646455,0.06754,16.25662,2.800075,1120.711,398.5346,1.597684,0,39407
,,,01-ai/Yi-6B,short_short,sjf,106.95,1.586294,0.065076,16.79973,2.805049,1122.702,399.2426,1.524441,0,39407
,,,01-ai/Yi-6B,short_short,ljf,106.66,1.587569,0.06513,16.40986,2.812676,1125.755,400.3281,1.521796,0,39407
,,,01-ai/Yi-6B,short_short,prompt_len_sjf,106.66,1.558524,0.066756,16.81478,2.812676,1125.755,400.3281,1.497681,0,39407
,,,01-ai/Yi-6B,short_short,prefill_aging_fairness,106.57,1.606273,0.06473,16.45693,2.815051,1126.705,400.6662,1.545219,0,39407
,,,01-ai/Yi-6B,short_short,vtc_fairness,107.11,1.642023,0.067458,16.70296,2.800859,1121.025,398.6463,1.578621,0,39407
,,,01-ai/Yi-6B,short_short,skip_join_mlfq,106.91,1.63219,0.064053,16.42964,2.806099,1123.122,399.392,1.571242,0,39407
,,,01-ai/Yi-6B,short_short,least_laxity_first,107.05,1.557959,0.067044,16.9101,2.802429,1121.653,398.8697,1.496256,0,39407
,,,01-ai/Yi-6B,short_short,hybrid,106.57,1.621745,0.065559,16.72919,2.815051,1126.705,400.6662,1.558892,0,39407
,,,01-ai/Yi-6B,short_short,adaptive_io_aging,106.66,1.584062,0.067477,16.73978,2.812676,1125.755,400.3281,1.521834,0,39407
,,,DiscoResearch/mixtral-7b-8expert,long_long,fcfs,1344.84,368.3653,0.157112,1235.932,0.223075,2119.956,967.1158,363.5376,0,39711
,,,DiscoResearch/mixtral-7b-8expert,long_long,sjf,1300.28,339.7699,0.155272,1191.049,0.23072,2192.605,1000.258,335.4523,0,39711
,,,DiscoResearch/mixtral-7b-8expert,long_long,ljf,1354.61,365.2125,0.161327,1245.913,0.221466,2104.666,960.1406,360.4573,0,39711
,,,DiscoResearch/mixtral-7b-8expert,long_long,prompt_len_sjf,1290.95,374.4967,0.155338,1182.944,0.232387,2208.452,1007.488,369.1639,0,39711
,,,DiscoResearch/mixtral-7b-8expert,long_long,prefill_aging_fairness,1312.82,365.9628,0.147992,1204.316,0.228516,2171.662,990.704,361.414,0,39711
,,,DiscoResearch/mixtral-7b-8expert,long_long,vtc_fairness,1335.01,365.2776,0.157999,1226.563,0.224717,2135.565,974.2369,360.5537,0,39711
,,,DiscoResearch/mixtral-7b-8expert,long_long,skip_join_mlfq,1345.69,365.1764,0.1615,1237.119,0.222934,2118.616,966.5049,360.3294,0,39711
,,,DiscoResearch/mixtral-7b-8expert,long_long,least_laxity_first,1319.06,357.3667,0.153815,1210.69,0.227435,2161.388,986.0173,352.8271,0,39711
,,,DiscoResearch/mixtral-7b-8expert,long_long,hybrid,1326.86,365.2562,0.155943,1217.283,0.226098,2148.683,980.221,360.45,0,39711
,,,DiscoResearch/mixtral-7b-8expert,long_long,adaptive_io_aging,1339.55,365.8349,0.157667,1231.435,0.223956,2128.327,970.935,361.1228,0,39711
,,,DiscoResearch/mixtral-7b-8expert,long_short,fcfs,209.36,94.0626,0.064868,115.4006,1.432938,7728.468,368.8718,92.74152,0,39429
,,,DiscoResearch/mixtral-7b-8expert,long_short,sjf,212.91,97.8103,0.067244,119.1806,1.409046,7599.605,362.7213,96.49736,0,39429
,,,DiscoResearch/mixtral-7b-8expert,long_short,ljf,214.77,98.87652,0.066511,120.5473,1.396843,7533.79,359.58,97.56268,0,39429
,,,DiscoResearch/mixtral-7b-8expert,long_short,prompt_len_sjf,208.13,93.04453,0.0656,114.4809,1.441407,7774.141,371.0517,91.74067,0,39429
,,,DiscoResearch/mixtral-7b-8expert,long_short,prefill_aging_fairness,211.82,96.38562,0.065914,117.6566,1.416297,7638.712,364.5879,95.08044,0,39429
,,,DiscoResearch/mixtral-7b-8expert,long_short,vtc_fairness,210.1,95.1407,0.065775,116.5188,1.427891,7701.247,367.5726,93.84839,0,39429
,,,DiscoResearch/mixtral-7b-8expert,long_short,skip_join_mlfq,204.17,87.58143,0.067554,108.95,1.469364,7924.925,378.2485,86.28361,0,39429
,,,DiscoResearch/mixtral-7b-8expert,long_short,least_laxity_first,212.48,97.22564,0.066757,118.8823,1.411898,7614.985,363.4554,95.90473,0,39429
,,,DiscoResearch/mixtral-7b-8expert,long_short,hybrid,218.27,102.7827,0.06921,124.6497,1.374444,7412.984,353.8141,101.4368,0,39429
,,,DiscoResearch/mixtral-7b-8expert,long_short,adaptive_io_aging,215.18,99.98121,0.0677,121.493,1.394182,7519.435,358.8949,98.66493,0,39429
,,,DiscoResearch/mixtral-7b-8expert,mixed,fcfs,819.36,59.21137,0.103708,738.4903,0.366139,1776.371,805.6739,58.76009,0,39511
,,,DiscoResearch/mixtral-7b-8expert,mixed,sjf,808.82,52.47165,0.101787,727.9195,0.370911,1799.519,816.1729,52.0221,0,39511
,,,DiscoResearch/mixtral-7b-8expert,mixed,ljf,805.11,54.97335,0.1022,723.6617,0.37262,1807.811,819.9339,54.52628,0,39511
,,,DiscoResearch/mixtral-7b-8expert,mixed,prompt_len_sjf,770.14,50.92032,0.098306,689.9887,0.38954,1889.899,857.1649,50.47444,0,39511
,,,DiscoResearch/mixtral-7b-8expert,mixed,prefill_aging_fairness,824.8,59.09563,0.104708,743.6197,0.363725,1764.654,800.3601,58.64757,0,39511
,,,DiscoResearch/mixtral-7b-8expert,mixed,vtc_fairness,768.77,52.69009,0.100448,694.7002,0.390234,1893.267,858.6925,52.2429,0,39511
,,,DiscoResearch/mixtral-7b-8expert,mixed,skip_join_mlfq,805.2,51.13247,0.100842,723.677,0.372578,1807.609,819.8423,50.681,0,39511
,,,DiscoResearch/mixtral-7b-8expert,mixed,least_laxity_first,812.54,56.11077,0.103882,731.3285,0.369213,1791.28,812.4363,55.66215,0,39511
,,,DiscoResearch/mixtral-7b-8expert,mixed,hybrid,775.76,57.61148,0.102789,695.3658,0.386718,1876.208,850.9552,57.16409,0,39511
,,,DiscoResearch/mixtral-7b-8expert,mixed,adaptive_io_aging,819.12,56.84686,0.104403,738.2964,0.366247,1776.891,805.91,56.39724,0,39511
,,,DiscoResearch/mixtral-7b-8expert,short_long,fcfs,974.84,68.19384,0.123659,880.7039,0.307743,1355.29,1279.22,67.98126,0,39835
,,,DiscoResearch/mixtral-7b-8expert,short_long,sjf,993.2,69.78932,0.125543,900.3158,0.302054,1330.237,1255.573,69.59818,0,39835
,,,DiscoResearch/mixtral-7b-8expert,short_long,ljf,946.65,50.50383,0.119921,848.2088,0.316907,1395.649,1317.314,50.33242,0,39835
,,,DiscoResearch/mixtral-7b-8expert,short_long,prompt_len_sjf,989.11,73.36425,0.124676,895.2691,0.303303,1335.737,1260.765,73.17615,0,39835
,,,DiscoResearch/mixtral-7b-8expert,short_long,prefill_aging_fairness,973.74,67.27459,0.122962,880.5982,0.30809,1356.821,1280.665,67.06425,0,39835
,,,DiscoResearch/mixtral-7b-8expert,short_long,vtc_fairness,984.85,66.80862,0.124359,890.9514,0.304615,1341.515,1266.218,66.59916,0,39835
,,,DiscoResearch/mixtral-7b-8expert,short_long,skip_join_mlfq,1003.86,76.41501,0.127172,911.0195,0.298846,1316.111,1242.24,76.20219,0,39835
,,,DiscoResearch/mixtral-7b-8expert,short_long,least_laxity_first,985.28,71.92822,0.12427,886.5672,0.304482,1340.929,1265.666,71.71868,0,39835
,,,DiscoResearch/mixtral-7b-8expert,short_long,hybrid,992.78,69.66724,0.125412,895.9497,0.302182,1330.799,1256.104,69.44987,0,39835
,,,DiscoResearch/mixtral-7b-8expert,short_long,adaptive_io_aging,976.79,62.17497,0.123288,880.9533,0.307128,1352.584,1276.666,61.97993,0,39835
,,,DiscoResearch/mixtral-7b-8expert,short_short,fcfs,105.62,1.351787,0.059044,14.53937,2.840371,1136.84,404.27,1.295447,0,39411
,,,DiscoResearch/mixtral-7b-8expert,short_short,sjf,105.86,1.389937,0.059951,14.87757,2.833932,1134.262,403.3535,1.334562,0,39411
,,,DiscoResearch/mixtral-7b-8expert,short_short,ljf,105.81,0.929871,0.055754,14.2452,2.835271,1134.798,403.5441,0.881378,0,39411
,,,DiscoResearch/mixtral-7b-8expert,short_short,prompt_len_sjf,105.92,0.872214,0.056331,14.17199,2.832326,1133.62,403.125,0.823423,0,39411
,,,DiscoResearch/mixtral-7b-8expert,short_short,prefill_aging_fairness,106.06,0.866506,0.05721,14.17064,2.828588,1132.123,402.5929,0.818647,0,39411
,,,DiscoResearch/mixtral-7b-8expert,short_short,vtc_fairness,105.61,0.920011,0.056984,14.32117,2.84064,1136.947,404.3083,0.871214,0,39411
,,,DiscoResearch/mixtral-7b-8expert,short_short,skip_join_mlfq,106.16,0.741479,0.056024,14.10331,2.825923,1131.057,402.2136,0.693677,0,39411
,,,DiscoResearch/mixtral-7b-8expert,short_short,least_laxity_first,105.25,1.389591,0.058581,14.3164,2.850356,1140.836,405.6912,1.334635,0,39411
,,,DiscoResearch/mixtral-7b-8expert,short_short,hybrid,104.04,1.344667,0.056916,14.26136,2.883506,1154.104,410.4095,1.290397,0,39411
,,,DiscoResearch/mixtral-7b-8expert,short_short,adaptive_io_aging,106.14,1.367656,0.059112,14.85314,2.826456,1131.27,402.2894,1.311409,0,39411
