Dataset,Model,Chunk Size,Inference,Requests,Request Arrival
ShareGPT,yi,3072,154.14 s,300,Poisson 10 QPS
ShareGPT,yi,4096,149.46 s,300,Poisson 10 QPS
ShareGPT,yi,128,401.77 s,300,Poisson 15 QPS
ShareGPT,yi,256,235.76 s,300,Poisson 15 QPS
ShareGPT,yi,512,186.10 s,300,Poisson 15 QPS
ShareGPT,yi,1024,166.88 s,300,Poisson 15 QPS
ShareGPT,yi,2048,155.29 s,300,Poisson 15 QPS
ShareGPT,yi,3072,148.03 s,300,Poisson 15 QPS
ShareGPT,yi,4096,150.76 s,300,Poisson 15 QPS
ShareGPT,yi,128,405.82 s,300,Poisson 20 QPS
ShareGPT,yi,256,230.34 s,300,Poisson 20 QPS
ShareGPT,yi,512,186.55 s,300,Poisson 20 QPS
ShareGPT,yi,1024,167.20 s,300,Poisson 20 QPS
ShareGPT,yi,2048,156.45 s,300,Poisson 20 QPS
ShareGPT,yi,3072,148.17 s,300,Poisson 20 QPS
ShareGPT,yi,4096,148.02 s,300,Poisson 20 QPS
