Scheduler,Input Output data Type,Model Name,Number of requests,QPS,Inference Time,P95 TTFT,P95 TPOT,Request Latency,Request Throughput (req/s),Token Throughput (tokens/s),Output Token Throughput (output-tokens/s),Max GPU Memory
sarathi,long input long output,yi_6b,10,2.0,197.49,3.401497322553768,0.03736991501581504,169.68343091965647,0.05063547521393488,439.33363714618457,143.35915742569244,39359.0
sarathi,long input long output,yi_6b,10,3.0,197.25,3.4067106251604846,0.03730694134659492,169.81927678161296,0.050697084917617236,439.8681875792142,143.53358681875793,39359.0
sarathi,long input long output,yi_6b,10,4.0,198.7,3.430045271012931,0.03762785237404496,171.28696154402562,0.050327126321087066,436.65827881227983,142.48616004026172,39359.0
sarathi,long input long output,yi_6b,10,5.0,198.28,3.419130697892978,0.03754926308364597,171.03158020302646,0.05043373007867662,437.58321565462984,142.78797659874925,39359.0
sarathi,long input long output,yi_6b,10,6.0,196.01,3.3874311714433127,0.03713909044105564,169.1000855435151,0.0510178052140197,442.65088515892046,144.44161012193257,39359.0
sarathi,long input long output,yi_6b,10,7.0,196.37,3.4081322589889163,0.03721834093737559,169.4463952741585,0.05092427560217956,441.8393848347507,144.17680908489078,39359.0
sarathi,long input long output,yi_6b,10,8.0,196.93,3.403157406393438,0.03734982768139998,170.04994480665766,0.05077946478444117,440.58294825572534,143.76682069770985,39359.0
sarathi,long input long output,yi_6b,10,9.0,194.9,3.3703753927256908,0.03693668056487485,168.27945209383026,0.0513083632632119,445.17188301693176,145.26423807080553,39359.0
sarathi,long input long output,yi_6b,10,10.0,194.56,3.3666290414053943,0.03689652327454725,168.00338384322816,0.05139802631578947,445.9498355263158,145.51809210526315,39359.0
vllm,long input long output,llama2_7b,1,1.0,90.96,0.6394689464941621,0.03198363158997298,89.93821939919144,0.010993843447669306,69.38214599824099,30.70580474934037,37727.0
vllm,long input long output,llama2_7b,2,1.0,95.0,0.6245785509701818,0.034187339321051106,91.56035906639882,0.021052631578947368,101.83157894736843,43.14736842105263,37747.0
vllm,long input long output,llama2_7b,3,1.0,103.6,0.6812604148872197,0.036694482328655194,101.73354199882597,0.02895752895752896,140.1930501930502,64.16023166023166,37967.0
vllm,long input long output,llama2_7b,4,1.0,168.81,2.1974108021706344,0.04531793407551745,161.23341615451497,0.023695278715715893,153.15443397902968,62.35412594040638,38785.0
vllm,long input long output,llama2_7b,5,1.0,275.16,2.1937769677489998,0.05262536480165874,257.0049740150571,0.018171245820613458,134.1764791394098,60.03052769297862,38807.0
