Scheduler,Input Output data Type,Model Name,Number of Requests,QPS,Request No,Prefill Token Count,Decode Token Count,Prefill Time,Decode Time,Request Execution Time,Request End-to-End time,Scheduling Delay
sarathi,long input long output,llama2_7b,8,1.0,3,7451,3879,3.024367729201913,260.1793344998732,263.20370222907513,265.1508756503463,1.9471734212711451
sarathi,long input long output,llama2_7b,8,1.0,4,5074,5992,2.339124877937138,343.2513997303322,345.59052460826933,349.1744863456115,3.583961737342179
sarathi,long input long output,llama2_7b,8,1.0,5,8465,2267,4.4762581661343575,169.53416022472084,174.0104183908552,178.74592283647507,4.735504445619881
sarathi,long input long output,llama2_7b,8,1.0,6,8091,2558,4.813728897832334,189.35132675152272,194.16505564935505,201.08224769774824,6.91719204839319
sarathi,long input long output,llama2_7b,8,1.0,7,3651,3710,168.30192966293544,107.32185122463852,275.623780887574,287.18731521535665,11.56353432778269
sarathi,long input long output,llama2_7b,9,1.0,0,3518,2793,1.1134911458939314,206.23242139443755,207.34591254033148,207.34616721328348,0.0002546729519963
sarathi,long input long output,llama2_7b,9,1.0,1,2057,1306,0.7111980989575386,94.07017118111251,94.78136928007008,95.82923880033196,1.0478695202618835
sarathi,long input long output,llama2_7b,9,1.0,2,2302,2548,0.846368208527565,188.36815194785595,189.21452015638351,190.60822225734591,1.3937021009624004
sarathi,long input long output,llama2_7b,9,1.0,3,7451,3879,3.017227318137884,273.98740608338267,277.0046334015205,278.9450000077486,1.9403666062280536
sarathi,long input long output,llama2_7b,9,1.0,4,5074,5992,2.3258328745141625,368.66745799500495,370.9932908695191,374.5634281719104,3.570137302391231
sarathi,long input long output,llama2_7b,9,1.0,5,8465,2267,4.466909350827336,170.4707520706579,174.93766142148525,179.64657824393362,4.708916822448373
sarathi,long input long output,llama2_7b,9,1.0,6,8091,2558,4.806309958919883,192.7990690022707,197.60537896119055,204.48647219967097,6.881093238480389
sarathi,long input long output,llama2_7b,9,1.0,7,3651,3710,169.24043312855065,126.40299654845148,295.64342967700213,307.16352383233607,11.520094155333936
sarathi,long input long output,llama2_7b,9,1.0,8,8256,2537,177.2552129048854,142.92246788088232,320.17768078576773,333.44906262215227,13.271381836384537
sarathi,long input long output,llama2_7b,10,1.0,0,3518,2793,1.0879329033195972,202.84008575510236,203.92801865842196,203.92825293540955,0.0002342769876122
sarathi,long input long output,llama2_7b,10,1.0,0,3518,2793,1.1170338746160269,206.76322884857652,207.88026272319257,207.88063004799187,0.0003673247992992
sarathi,long input long output,llama2_7b,10,1.0,1,2057,1306,0.6967208413407207,92.48466966487469,93.1813905062154,94.20485247578472,1.0234619695693254
sarathi,long input long output,llama2_7b,10,1.0,1,2057,1306,0.7162347892299294,94.38994962070136,95.1061844099313,96.157821030356,1.051636620424688
sarathi,long input long output,llama2_7b,10,1.0,2,2302,2548,0.8249000674113631,185.24565178435296,186.07055185176432,187.42633667495105,1.3557848231866956
sarathi,long input long output,llama2_7b,10,1.0,2,2302,2548,0.8460016446188092,188.9001468559727,189.74614850059152,191.14839329198003,1.4022447913885117
sarathi,long input long output,llama2_7b,10,1.0,3,7451,3879,2.950006917119026,280.4522015750408,283.40220849215984,285.2845756309107,1.8823671387508512
sarathi,long input long output,llama2_7b,10,1.0,3,7451,3879,3.0366395814344287,285.8805241631344,288.9171637445688,290.8662693891674,1.9491056445986032
sarathi,long input long output,llama2_7b,10,1.0,4,5074,5992,2.278766212053597,386.6492989249528,388.9280651370064,392.3738812692464,3.4458161322399974
sarathi,long input long output,llama2_7b,10,1.0,4,5074,5992,2.334308865480125,394.4227605070919,396.757069372572,400.35533325374126,3.5982638811692595
