Scheduler,Input Output data Type,Model Name,Number of requests,QPS,Inference Time,P95 TTFT,P95 TPOT,Request Latency,Request Throughput (req/s),Token Throughput (tokens/s),Output Token Throughput (output-tokens/s),Max GPU Memory
sarathi,long input long output,yi_6b,1,1.0,124.42,1.3940516461152583,0.04369747535029378,123.39761935570276,0.008037293039704227,50.72335637357338,22.44815945989391,39547.0
sarathi,long input long output,yi_6b,2,1.0,124.57,1.4223873314098454,0.04372701719777927,120.33016454948809,0.016055229991169623,77.65914746728747,32.905193866902145,39547.0
sarathi,long input long output,yi_6b,3,1.0,127.26,1.3813134398777038,0.04506658413164366,125.32949505611322,0.023573785950023574,114.12855571271412,52.23165173660223,39547.0
sarathi,long input long output,yi_6b,4,1.0,182.47,3.154082231840584,0.04605937139767568,173.1398340174928,0.021921411738915986,141.68904477448348,57.68619499095742,39625.0
sarathi,long input long output,yi_6b,5,1.0,277.97,3.182306799711659,0.04720407584305831,256.57490286072715,0.017987552613591393,132.82008849875885,59.423678814260526,39625.0
sarathi,long input long output,yi_6b,6,1.0,281.65,3.8665329604409635,0.047889764922779215,255.3297587670968,0.02130303568258477,169.18870939108825,66.69625421622582,39625.0
sarathi,long input long output,yi_6b,7,1.0,285.28,3.818055737810209,0.04772993112453518,253.91790498248295,0.024537296690970278,204.364133482894,74.81421761076838,39625.0
sarathi,long input long output,yi_6b,8,1.0,285.41,3.8948875755420884,0.04872172823517962,249.71563407117497,0.028029851792158646,224.3158964296976,82.0328650012263,39625.0
sarathi,long input long output,yi_6b,9,1.0,290.53,4.009109303960576,0.05329173243008133,250.42382819456975,0.030977868034282176,257.39166351151346,89.19905001204695,39625.0
sarathi,long input long output,yi_6b,10,1.0,300.14,4.836275220499374,0.055184695564908015,296.62712566733825,0.033317785033650966,578.1568601319384,188.65862597454523,39625.0
sarathi,long input long output,yi_6b,10,2.0,301.99,4.466330113075673,0.0554259191491645,257.8071265634614,0.033113679260902674,287.307526739296,93.75144872346766,39625.0
sarathi,long input long output,yi_6b,10,3.0,297.08,4.513939608412328,0.05360127034780186,254.15251335365454,0.03366096674296486,292.0560118486603,95.30092904268211,39625.0
sarathi,long input long output,yi_6b,10,4.0,301.04,4.505315269820857,0.055644736611322285,258.1130499118705,0.03321817698644698,288.2141908052086,94.0473026840287,39625.0
sarathi,long input long output,yi_6b,10,5.0,299.9,4.540637324401176,0.055403109873684964,256.65213877899794,0.03334444814938313,289.3097699233078,94.40480160053352,39625.0
sarathi,long input long output,yi_6b,10,6.0,295.01,4.334375269059091,0.054135781052647956,253.1063962503219,0.0338971560286092,294.10528456662485,95.96962814819837,39625.0
sarathi,long input long output,yi_6b,10,7.0,302.83,4.417194027395452,0.05550675276970147,259.36929852956666,0.03302182742792986,286.51058349569064,93.49139781395503,39625.0
sarathi,long input long output,yi_6b,10,8.0,297.26,4.423953355511184,0.054409811205651644,254.44764672378068,0.03364058400053825,291.87916302227006,95.2432214223239,39625.0
sarathi,long input long output,yi_6b,10,9.0,299.39,4.372793784702662,0.054441991152370285,256.4924625423503,0.033401249206720336,289.8025986171883,94.56561675406661,39625.0
sarathi,long input long output,yi_6b,10,10.0,293.24,4.434910077799576,0.05322845951003867,252.18717752470394,0.03410175965079798,295.8805074341836,96.54890192333924,39625.0
vllm,long input long output,llama2_7b,1,1.0,123.15,0.3328104550018906,0.04361946943236374,122.11873793182896,0.008120178643930167,51.24644742184328,22.679658952496954,38463.0
vllm,long input long output,llama2_7b,2,1.0,123.28,0.32300832171458743,0.04496281755666199,119.10303673482268,0.016223231667748216,78.47177157689812,33.249513303049966,38463.0
vllm,long input long output,llama2_7b,3,1.0,125.4,0.3499402350280434,0.04454058985747114,123.28383249489124,0.023923444976076555,115.82137161084529,53.006379585326954,38643.0
vllm,long input long output,llama2_7b,4,1.0,179.48,0.6041865526000036,0.04730731413751181,170.71487905932588,0.022286605749944285,144.04947626476488,58.64720303097838,38921.0
vllm,long input long output,llama2_7b,5,1.0,275.77,0.6052560302428901,0.047596587140921714,254.3155621634796,0.0181310512383508,133.87968234398232,59.897740871015706,38921.0
vllm,long input long output,llama2_7b,6,1.0,273.68,0.7357938537024893,0.04966682570821334,249.42988296167465,0.021923414206372404,174.11575562700963,68.63855597778428,39167.0
vllm,long input long output,llama2_7b,7,1.0,283.27,0.7454480502055958,0.05070976742785747,252.82179505897213,0.024711406079005897,205.81424083030325,75.34507713488898,39189.0
vllm,long input long output,llama2_7b,8,1.0,285.31,0.7444244618760422,0.05191356584100721,250.522568557132,0.028039676141740563,224.39451824331428,82.06161718832148,39167.0
vllm,long input long output,llama2_7b,9,1.0,295.86,1.0334683734923602,0.05735762860037505,256.56252144305034,0.03041979314540661,252.75468126816736,87.59210437369026,39747.0
vllm,long input long output,llama2_7b,10,1.0,308.03,1.0360772814485244,0.06124727651709691,304.6558451446122,0.032464370353537,563.3477258708568,183.8262506898679,39747.0
vllm,long input long output,llama2_7b,10,2.0,308.83,1.038612154510338,0.06159032418187105,265.9219481551204,0.03238027393711751,280.94420878800634,91.67503157076709,39483.0
vllm,long input long output,llama2_7b,10,3.0,305.66,1.7520339816226624,0.06127410283774803,263.6628390797413,0.03271608977295033,283.8578813060263,92.62579336517699,40631.0
vllm,long input long output,llama2_7b,10,4.0,302.59,1.7539518513716756,0.0602861355834341,261.47474670482325,0.03304801877127467,286.7378300670875,93.56555074523283,40109.0
vllm,long input long output,llama2_7b,10,5.0,306.32,1.753171630902216,0.06147201231630473,264.7692144888452,0.03264559937320449,283.2462784016715,92.42622094541656,40109.0
vllm,long input long output,llama2_7b,10,6.0,298.68,1.7533638519234955,0.0600328027840918,257.96096889831813,0.03348064818534887,290.49149591536093,94.79041114235972,40109.0
vllm,long input long output,llama2_7b,10,7.0,307.18,1.7432427671854385,0.06087860406851042,264.57977189124784,0.03255420274757471,282.45328471905725,92.16745881893353,40109.0
vllm,long input long output,llama2_7b,10,8.0,307.02,1.7700651676510462,0.060817065834552445,265.2620843767188,0.03257116800208456,282.60048205328644,92.2154908475018,39663.0
vllm,long input long output,llama2_7b,10,9.0,304.13,1.77037764164852,0.06105675791322948,261.9642453492502,0.03288067602669911,285.28589747805216,93.09176996679052,39663.0
vllm,long input long output,llama2_7b,10,10.0,303.06,1.7726177483098582,0.060422298203253885,262.1714706804137,0.03299676631690095,286.29314327195937,93.42044479640995,39663.0
vllm,long input long output,mistral_7b,1,1.0,124.37,0.3444206498097628,0.044049431680952524,123.33071710471997,0.00804052424218059,50.7437484924017,22.45718420841039,38361.0
vllm,long input long output,mistral_7b,2,1.0,123.63,0.33588040804024777,0.044632014161080355,119.40693962601945,0.0161773032435493,78.24961578904797,33.15538299765429,38361.0
vllm,long input long output,mistral_7b,3,1.0,127.31,0.33014158115256576,0.04539852665413118,125.22987704980186,0.023564527531222998,114.08373262116095,52.21113816667976,38361.0
vllm,long input long output,mistral_7b,4,1.0,171.44,0.6196380598121322,0.04490272559689301,162.91521841950015,0.02333177788147457,150.8049463369109,61.397573495100325,38945.0
