Scheduler,Input Output data Type,Model Name,Number of Requests,QPS,Request No,Prefill Token Count,Decode Token Count,Prefill Time,Decode Time,Request Execution Time,Request End-to-End time,Scheduling Delay
sarathi,long input short output,qwen_7b,6,1.0,5,8829,109,4.363933627959341,5.148547816090286,9.512481444049628,18.25721111241728,8.744729668367654
sarathi,long input short output,qwen_7b,7,1.0,0,2494,254,1.0750351648312062,14.41562010999769,15.490655274828896,15.490851231617851,0.0001959567889571
sarathi,long input short output,qwen_7b,7,1.0,1,6459,315,2.82182847103104,17.29799326392822,20.11982173495926,21.113186954753477,0.9933652197942138
sarathi,long input short output,qwen_7b,7,1.0,2,3982,206,1.8013549430761486,11.883390674833208,13.684745617909355,17.124029810540378,3.439284192631021
sarathi,long input short output,qwen_7b,7,1.0,3,4458,81,2.0534133778419346,4.688514294102788,6.7419276719447225,11.669534693937749,4.927607021993026
sarathi,long input short output,qwen_7b,7,1.0,4,8713,183,4.099172900198028,9.75780963897705,13.856982539175078,19.446199789177623,5.589217250002548
sarathi,long input short output,qwen_7b,7,1.0,5,8829,109,4.282682392047718,5.440333720063791,9.723016112111509,18.22153937839903,8.49852326628752
sarathi,long input short output,qwen_7b,7,1.0,6,4193,66,1.9775174160022289,3.0528750880621374,5.030392504064366,15.524488111957908,10.49409560789354
sarathi,long input short output,qwen_7b,8,1.0,0,2494,254,1.0901656539645046,14.792936742072923,15.88310239603743,15.883352936711162,0.0002505406737327
sarathi,long input short output,qwen_7b,8,1.0,1,6459,315,2.93420830485411,18.27229090919718,21.20649921405129,22.21367122675292,1.0071720127016306
sarathi,long input short output,qwen_7b,8,1.0,2,3982,206,1.8661676479969171,12.143595710862428,14.009763358859344,17.568739770445973,3.558976411586628
sarathi,long input short output,qwen_7b,8,1.0,3,4458,81,2.132357740076259,4.757048219908029,6.889405959984288,12.004005764843896,5.114599804859608
sarathi,long input short output,qwen_7b,8,1.0,4,8713,183,4.153491549892351,10.541404521092772,14.694896070985124,20.54704097402282,5.852144903037697
sarathi,long input short output,qwen_7b,8,1.0,5,8829,109,4.366035326849669,6.140014879172668,10.506050206022335,19.32242413936183,8.816373933339491
sarathi,long input short output,qwen_7b,8,1.0,6,4193,66,2.0278693141881377,3.701511026825756,5.7293803410138935,16.62378651672043,10.894406175706536
sarathi,long input short output,qwen_7b,8,1.0,7,5619,409,2.7986136090476066,18.366091168951243,21.16470477799885,33.936850239057094,12.772145461058244
sarathi,long input short output,qwen_7b,9,1.0,0,2494,254,0.9847103389911354,14.161998822819442,15.146709161810575,15.14684832864441,0.0001391668338328
sarathi,long input short output,qwen_7b,9,1.0,1,6459,315,2.795853140996769,18.075385774951428,20.8712389159482,21.77355832979083,0.9023194138426334
sarathi,long input short output,qwen_7b,9,1.0,2,3982,206,1.650985145941377,11.869165541836992,13.520150687778369,16.836788227548823,3.316637539770454
sarathi,long input short output,qwen_7b,9,1.0,3,4458,81,2.0386224309913814,4.625843232963234,6.664465663954616,11.337951361900195,4.67348569794558
sarathi,long input short output,qwen_7b,9,1.0,4,8713,183,4.039637865964323,10.73711273400113,14.776750599965451,20.09650805708952,5.319757457124069
sarathi,long input short output,qwen_7b,9,1.0,5,8829,109,4.273739545140415,6.42978663998656,10.703526185126975,18.874786485452205,8.17126030032523
sarathi,long input short output,qwen_7b,9,1.0,6,4193,66,2.030291252071038,3.922646967926994,5.952938219998032,16.11252216482535,10.159583944827318
sarathi,long input short output,qwen_7b,9,1.0,7,5619,409,2.792034219950437,18.85402780608274,21.646062026033174,33.68451947113499,12.038457445101812
sarathi,long input short output,qwen_7b,9,1.0,8,3158,1,1.5457400060258806,0.0468757438939064,1.592615749919787,15.813262263778595,14.22064651385881
sarathi,long input short output,qwen_7b,10,1.0,0,2494,254,1.0685139189008623,14.23491308791563,15.303427006816491,15.303629644680768,0.0002026378642767
sarathi,long input short output,qwen_7b,10,1.0,0,2494,254,1.1055614380165937,14.585276186000556,15.69083762401715,15.691040735691786,0.0002031116746366
sarathi,long input short output,qwen_7b,10,1.0,1,6459,315,2.834536065114662,17.986224305815995,20.820760370930657,21.805057012708858,0.9842966417782008
sarathi,long input short output,qwen_7b,10,1.0,1,6459,315,2.909892152994871,18.450607175938785,21.360499328933656,22.381656048586592,1.021156719652936
sarathi,long input short output,qwen_7b,10,1.0,2,3982,206,1.767091325018555,11.726638659834862,13.493729984853417,16.93481180164963,3.4410818167962134
sarathi,long input short output,qwen_7b,10,1.0,2,3982,206,1.7906503430567682,12.01839803205803,13.8090483751148,17.361494534648955,3.5524461595341563
sarathi,long input short output,qwen_7b,10,1.0,3,4458,81,2.0358539461158216,4.590802595950663,6.626656542066485,11.524058307055384,4.897401764988899
sarathi,long input short output,qwen_7b,10,1.0,3,4458,81,2.087726272875443,4.722839512163773,6.810565785039216,11.842133468948305,5.031567683909088
sarathi,long input short output,qwen_7b,10,1.0,4,8713,183,3.999722204869613,10.649132440099493,14.648854644969106,20.18940555723384,5.540550912264735
