Request Id,request_e2e_time,request_e2e_time_normalized,request_e2e_time_piecewise_normalized,request_execution_time,request_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_e2e_time_piecewise_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_num_pauses,request_num_ignored,total_preemptions,num_pauses,num_restarts,prefill_preemptions,decode_preemptions,total_preemption_time_sec,total_preempted_time,execution_time,execution_time_with_preemptions,scheduling_delay,prefill_exec_with_preemption,decode_exec_with_preemption,ete_time,run_name,run_dir,scheduler,scheduler_family,request_type,sweep_type,model,model_full,num_requests,qps,tensor_parallel_degree,gpu_memory_utilization_target,max_model_len,ttft_exec_sec,ttft_user_sec,tpot_sec,tpot_including_first_output_sec,e2e_sec,scheduling_delay_sec,prefill_tokens,decode_tokens
0_8,4.453998500481248,4.453998500481248,4.453998500481248,1.7306978688575327,1.7306978688575327,0.0008997279219329,2.7224009037017822,1.7315975967794657,1.7315975967794657,4.396825620671734,0.0013922817038225,2.722931120521596,1.674424716969952,0.0005302168198131,0.0571728798095136,0.0608940178062766,3159,3158,1,3158.0,0,2,0,1,2,0,1,0,0.000775801949203,0.0008997279219329,1.7306978688575327,1.7315975967794657,2.7224009037017822,1.674424716969952,0.0571728798095136,4.453998500481248,custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_9_qwen_7b,benchmark_output/figure-1/custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_9_qwen_7b,vllm,vllm,long_input_short_output,fixed_num_requests_qps_sweep,qwen_7b,Qwen/Qwen-7B,10,9.0,2,0.85,20480,1.674424716969952,4.396825620671734,0.0571728798095136,0.0571728798095136,4.453998500481248,2.7224009037017822,3158,1
0_9,26.942781294696037,0.05613079436395,2.7695149720442718,23.91350682848133,0.0498198058926694,0.3102256034035235,2.719048862811178,24.22373243188485,0.0504661092330934,4.393488664878532,0.0006495400155054,2.719296414526445,1.6744398020673543,0.0002475517152672,0.0469776929787864,0.0033611308317631,7244,6764,480,14.091666666666669,0,481,0,480,481,0,1,479,0.3120821011252701,0.3102256034035235,23.91350682848133,24.22373243188485,2.719048862811178,1.6744398020673543,22.5492926298175,26.942781294696037,custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_9_qwen_7b,benchmark_output/figure-1/custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_9_qwen_7b,vllm,vllm,long_input_short_output,fixed_num_requests_qps_sweep,qwen_7b,Qwen/Qwen-7B,10,9.0,2,0.85,20480,1.6744398020673543,4.393488664878532,0.04707576749439979,0.04697769297878646,26.942781294696037,2.719048862811178,6764,480
0_0,17.8486925882753,0.0702704432609263,0.3821462199685904,13.805687122279778,0.0543530989066133,3.729896978707984,0.3131084872875362,17.535584100987762,0.0690377326810541,1.792306138202548,0.0007186472085816,0.3137015897939176,1.4791976509150118,0.0005931025063813,0.0632141198821761,,2748,2494,254,9.818897637795276,0,255,0,254,255,0,1,253,3.732749674702063,3.729896978707984,13.805687122279778,17.535584100987762,0.3131084872875362,1.4791976509150118,16.05638645007275,17.8486925882753,custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,benchmark_output/figure-1/custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,vllm,vllm,long_input_short_output,fixed_num_requests_qps_sweep,qwen_7b,Qwen/Qwen-7B,10,10.0,2,0.85,20480,1.4791976509150118,1.792306138202548,0.06346397806352866,0.06321411988217618,17.8486925882753,0.3131084872875362,2494,254
0_1,20.650935992365703,0.0655585269598911,0.3751725274426419,16.58981059049256,0.052666065366643,3.75052536954172,0.3106000323314219,20.34033596003428,0.0645724951112199,1.7898088982328773,0.0002771030961809,0.3108290474832878,1.4792088659014553,0.0002290151518658,0.059876593949628,0.0025328840129077,6774,6459,315,20.504761904761907,0,316,0,315,316,0,1,314,3.752550291828811,3.75052536954172,16.58981059049256,20.34033596003428,0.3106000323314219,1.4792088659014553,18.861127094132826,20.650935992365703,custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,benchmark_output/figure-1/custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,vllm,vllm,long_input_short_output,fixed_num_requests_qps_sweep,qwen_7b,Qwen/Qwen-7B,10,10.0,2,0.85,20480,1.4792088659014553,1.7898088982328773,0.060067283739276514,0.05987659394962802,20.650935992365703,0.3106000323314219,6459,315
0_2,15.54919966380112,0.0754815517660248,0.3525748230840161,11.675310325575992,0.0566762637163883,3.595444392412901,0.2784449458122253,15.270754717988892,0.0741298772717907,1.7576728737913072,0.0004414045388727,0.2788164244480814,1.479227927979082,0.0003714786358561,0.0669491591748049,0.0321624064818024,4188,3982,206,19.33009708737864,0,207,0,206,207,0,1,205,3.596235701581463,3.595444392412901,11.675310325575992,15.270754717988892,0.2784449458122253,1.479227927979082,13.791526790009812,15.54919966380112,custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,benchmark_output/figure-1/custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,vllm,vllm,long_input_short_output,fixed_num_requests_qps_sweep,qwen_7b,Qwen/Qwen-7B,10,10.0,2,0.85,20480,1.479227927979082,1.7576728737913074,0.06727574043907225,0.06694915917480491,15.54919966380112,0.2784449458122253,3982,206
0_3,9.459597437409684,0.1167851535482677,0.3668516369185836,5.788053882773966,0.0714574553428884,3.4183512402232736,0.2531923144124448,9.20640512299724,0.1136593225061387,1.7324373514857143,0.0003886131340255,0.2535241325006174,1.4792450370732697,0.0003318180881725,0.0953970380978267,0.0252586184069514,4539,4458,81,55.03703703703704,0,82,0,81,82,0,1,80,3.418519253609702,3.4183512402232736,5.788053882773966,9.20640512299724,0.2531923144124448,1.4792450370732697,7.72716008592397,9.459597437409684,custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,benchmark_output/figure-1/custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,vllm,vllm,long_input_short_output,fixed_num_requests_qps_sweep,qwen_7b,Qwen/Qwen-7B,10,10.0,2,0.85,20480,1.4792450370732697,1.7324373514857145,0.09658950107404962,0.09539703809782679,9.459597437409684,0.2531923144124448,4458,81
0_4,14.313674290897325,0.0782167994038105,1.6699006438313837,10.767290861345828,0.0588376549800318,1.945954069495201,1.600429360056296,12.713244930841029,0.0694712837750875,3.188948522089049,0.0003659989122103,1.6006116760395432,1.5885191620327532,0.0001823159832471,0.0607908511956736,0.1333592673763632,8896,8713,183,47.61202185792349,0,184,0,183,184,0,1,182,1.946466322988272,1.945954069495201,10.767290861345828,12.713244930841029,1.600429360056296,1.5885191620327532,11.124725768808275,14.313674290897325,custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,benchmark_output/figure-1/custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,vllm,vllm,long_input_short_output,fixed_num_requests_qps_sweep,qwen_7b,Qwen/Qwen-7B,10,10.0,2,0.85,20480,1.5885191620327532,3.188948522089049,0.06112486686158393,0.06079085119567364,14.313674290897325,1.600429360056296,8713,183
0_5,10.636515319347382,0.0975827093518108,1.5714659545348462,7.312392925145104,0.0670861736251844,1.8365920819342136,1.4875303122680634,9.148985007079318,0.0839356422667827,3.0760645451955497,0.0003484046375801,1.487710234595952,1.5885342329274863,0.0001799223278884,0.0693619337078149,0.1129173007793724,8938,8829,109,81.0,0,110,0,109,110,0,1,108,1.836773015325889,1.8365920819342136,7.312392925145104,9.148985007079318,1.4875303122680634,1.5885342329274863,7.560450774151832,10.636515319347382,custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,benchmark_output/figure-1/custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,vllm,vllm,long_input_short_output,fixed_num_requests_qps_sweep,qwen_7b,Qwen/Qwen-7B,10,10.0,2,0.85,20480,1.5885342329274863,3.0760645451955497,0.07000417383473918,0.06936193370781497,10.636515319347382,1.4875303122680634,8829,109
0_6,8.223422474227846,0.1245973102155734,2.935948808984408,5.279752176487818,0.0799962450983002,0.0890672374516725,2.8546030602883548,5.368819413939491,0.0813457486960528,4.5271713172551244,0.0010796974283937,2.855001955651333,1.6725682569667697,0.000398895362978,0.0560038054086775,0.2227288100402802,4259,4193,66,63.53030303030303,0,67,0,66,67,0,1,65,0.0891692212317138,0.0890672374516725,5.279752176487818,5.368819413939491,2.8546030602883548,1.6725682569667697,3.696251156972721,8.223422474227846,custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,benchmark_output/figure-1/custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,vllm,vllm,long_input_short_output,fixed_num_requests_qps_sweep,qwen_7b,Qwen/Qwen-7B,10,10.0,2,0.85,20480,1.6725682569667697,4.5271713172551244,0.05686540241496494,0.056003805408677595,8.223422474227846,2.8546030602883548,4193,66
0_7,24.375218820758164,0.0595971120311935,2.8981648639850954,21.13629404990934,0.0516779805621255,0.3933997449930757,2.84552502585575,21.52969379490241,0.0526398381293457,4.518106404691935,0.0008040765980943,2.845822691166096,1.6725813788361847,0.0002976653103463,0.0485503971052964,0.0090952403843402,6028,5619,409,13.73838630806846,0,410,0,409,410,0,1,408,0.3956246157176792,0.3933997449930757,21.13629404990934,21.52969379490241,2.84552502585575,1.6725813788361847,19.85711241606623,24.375218820758164,custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,benchmark_output/figure-1/custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,vllm,vllm,long_input_short_output,fixed_num_requests_qps_sweep,qwen_7b,Qwen/Qwen-7B,10,10.0,2,0.85,20480,1.6725813788361847,4.518106404691935,0.048669393176632915,0.048550397105296406,24.375218820758164,2.84552502585575,5619,409
0_8,4.518693167949095,4.518693167949095,4.518693167949095,1.7270539621822536,1.7270539621822536,0.0009083449840545,2.790730860782787,1.7279623071663082,1.7279623071663082,4.463326813885942,0.0014133397130734,2.7912604985133456,1.672595953103155,0.0005296377305583,0.0553663540631532,0.0548046159092336,3159,3158,1,3158.0,0,2,0,1,2,0,1,0,0.0007611350156366,0.0009083449840545,1.7270539621822536,1.7279623071663082,2.790730860782787,1.672595953103155,0.0553663540631532,4.518693167949095,custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,benchmark_output/figure-1/custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,vllm,vllm,long_input_short_output,fixed_num_requests_qps_sweep,qwen_7b,Qwen/Qwen-7B,10,10.0,2,0.85,20480,1.672595953103155,4.463326813885942,0.0553663540631532,0.0553663540631532,4.518693167949095,2.790730860782787,3158,1
0_9,27.50461684796028,0.0573012850999172,2.8392085405052057,24.35249841050245,0.0507343716885467,0.36440344247967,2.78771499497816,24.71690185298212,0.051493545527046,4.460351184010506,0.0006594250715568,2.787962280044545,1.672636189032346,0.0002472850663856,0.0480088867998953,0.0030250179115682,7244,6764,480,14.091666666666669,0,481,0,480,481,0,1,479,0.3669127135071903,0.36440344247967,24.35249841050245,24.71690185298212,2.78771499497816,1.672636189032346,23.044265663949773,27.50461684796028,custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,benchmark_output/figure-1/custom_vllm_long_input_short_output_fixed_num_requests_num_requests_10_qps_10_qwen_7b,vllm,vllm,long_input_short_output,fixed_num_requests_qps_sweep,qwen_7b,Qwen/Qwen-7B,10,10.0,2,0.85,20480,1.672636189032346,4.460351184010506,0.048109114120980734,0.04800888679989536,27.50461684796028,2.78771499497816,6764,480
0_0,12.47115477360785,0.0490990345417631,0.0500871465260925,12.312388810096309,0.0484739716932925,0.1577739459462463,0.0009920175652951,12.470162756042557,0.0490951289607974,1.083367659477517,0.0004343895988281,0.0014260094024692,1.082375641912222,0.0004339918371741,0.0448338075359461,,2748,2494,254,9.818897637795276,0,274,0,273,274,0,20,253,0.1611161967739462,0.1577739459462463,12.312388810096309,12.470162756042557,0.0009920175652951,1.082375641912222,11.387787114130331,12.47115477360785,custom_sarathi_long_input_short_output_fixed_qps_num_requests_1_qps_1_yi_6b,benchmark_output/figure-1/custom_sarathi_long_input_short_output_fixed_qps_num_requests_1_qps_1_yi_6b,sarathi_chunk_128,sarathi,long_input_short_output,fixed_qps_num_requests_sweep,yi_6b,01-ai/Yi-6B,1,1.0,2,0.85,20480,1.082375641912222,1.083367659477517,0.045011016261384706,0.04483380753594619,12.47115477360785,0.0009920175652951,2494,254
0_0,13.04296274157241,0.0513502470140646,0.0516724281872835,12.820954684866592,0.0504761995467188,0.2216846020892262,0.0003234546165913,13.04263928695582,0.0513489735706922,1.0701431857887655,0.0004290870833154,0.0007524120067966,1.0698197311721742,0.0004289573902053,0.0471370848652899,,2748,2494,254,9.818897637795276,0,274,0,273,274,0,20,253,0.2248839719686657,0.2216846020892262,12.820954684866592,13.04263928695582,0.0003234546165913,1.0698197311721742,11.972819555783644,13.04296274157241,custom_sarathi_long_input_short_output_fixed_qps_num_requests_2_qps_1_yi_6b,benchmark_output/figure-1/custom_sarathi_long_input_short_output_fixed_qps_num_requests_2_qps_1_yi_6b,sarathi_chunk_128,sarathi,long_input_short_output,fixed_qps_num_requests_sweep,yi_6b,01-ai/Yi-6B,2,1.0,2,0.85,20480,1.0698197311721742,1.0701431857887655,0.0473233974536903,0.04713708486528994,13.04296274157241,0.0003234546165913,2494,254
0_1,17.956296768737957,0.0570041167261522,1.04012681452247,16.76124724256806,0.0532103087065652,0.2087958643678575,0.9862536618020386,16.97004310693592,0.0538731527204314,3.834567040670663,0.0005936781298452,0.9866946454494868,2.848313378868625,0.0004409836474483,0.0448308880256104,0.0253288389649242,6774,6459,315,20.504761904761907,0,367,0,366,367,0,52,314,0.2111884416081011,0.2087958643678575,16.76124724256806,16.97004310693592,0.9862536618020386,2.848313378868625,14.121729728067294,17.956296768737957,custom_sarathi_long_input_short_output_fixed_qps_num_requests_2_qps_1_yi_6b,benchmark_output/figure-1/custom_sarathi_long_input_short_output_fixed_qps_num_requests_2_qps_1_yi_6b,sarathi_chunk_128,sarathi,long_input_short_output,fixed_qps_num_requests_sweep,yi_6b,01-ai/Yi-6B,2,1.0,2,0.85,20480,2.848313378868625,3.8345670406706636,0.044973661554354435,0.04483088802561046,17.956296768737957,0.9862536618020386,6459,315
0_0,13.36744012660347,0.0526277170338719,0.0529391088726468,13.092558678705243,0.0515455066090757,0.2745688252616673,0.0003126226365566,13.367127503966913,0.0526264862360902,1.073221278609708,0.0004303212825219,0.0007428185691841,1.072908655973151,0.0004301959326275,0.0484024364094242,,2748,2494,254,9.818897637795276,0,274,0,273,274,0,20,253,0.2778836849611252,0.2745688252616673,13.092558678705243,13.367127503966913,0.0003126226365566,1.072908655973151,12.29421884799376,13.36744012660347,custom_sarathi_long_input_short_output_fixed_qps_num_requests_3_qps_1_yi_6b,benchmark_output/figure-1/custom_sarathi_long_input_short_output_fixed_qps_num_requests_3_qps_1_yi_6b,sarathi_chunk_128,sarathi,long_input_short_output,fixed_qps_num_requests_sweep,yi_6b,01-ai/Yi-6B,3,1.0,2,0.85,20480,1.072908655973151,1.0732212786097077,0.04859375038732711,0.04840243640942425,13.36744012660347,0.0003126226365566,2494,254
0_1,18.19829752878286,0.0577723731072471,1.0436427362433207,16.921052261488512,0.0537176262269476,0.2882351896259933,0.989010077668354,17.209287451114506,0.0546326585749666,3.795265913708136,0.0005875934221563,0.9894445498522896,2.8062558360397816,0.0004344721839355,0.0457239098891261,0.0253288389649242,6774,6459,315,20.504761904761907,0,367,0,366,367,0,52,314,0.2910684251692146,0.2882351896259933,16.921052261488512,17.209287451114506,0.989010077668354,2.8062558360397816,14.403031615074724,18.19829752878286,custom_sarathi_long_input_short_output_fixed_qps_num_requests_3_qps_1_yi_6b,benchmark_output/figure-1/custom_sarathi_long_input_short_output_fixed_qps_num_requests_3_qps_1_yi_6b,sarathi_chunk_128,sarathi,long_input_short_output,fixed_qps_num_requests_sweep,yi_6b,01-ai/Yi-6B,3,1.0,2,0.85,20480,2.8062558360397816,3.7952659137081355,0.045869527436543704,0.045723909889126106,18.19829752878286,0.989010077668354,6459,315
