"TP-2, PP-1, Dataset- Arxiv, 300 Requests",model,qps,chunk_size,dynamic_chunking,total_time_sec,,,,model,qps,chunk_size,dynamic_chunking,total_time_sec,,,VLLM,model,qps,total_time_sec
qwen,256,708.02 s,300,1,,,,,,,,,,,,,,,
qwen,512,597.47 s,300,1,,,,,,,,,,,,,,,
qwen,1024,599.85 s,300,1,,,,,,,,,,,,,,,
qwen,2048,610.03 s,300,1,,,,,,,,,,,,,,,
qwen,3072,616.93 s,300,1,,,,,,,,,,,,,,,
qwen,4096,623.25 s,300,1,,,,,,,,,,,,,,,
qwen,128,1236.88 s,300,5,,,,,,,,,,,,,,,
qwen,256,710.22 s,300,5,,,,,,,,,,,,,,,
qwen,512,596.25 s,300,5,,,,,,,,,,,,,,,
qwen,1024,604.52 s,300,5,,,,,,,,,,,,,,,
qwen,2048,610.65 s,300,5,,,,,,,,,,,,,,,
qwen,3072,619.13 s,300,5,,,,,,,,,,,,,,,
qwen,4096,611.71 s,300,5,,,,,,,,,,,,,,,
qwen,128,1192.05 s,300,10,,,,,,,,,,,,,,,
qwen,256,719.79 s,300,10,,,,,,,,,,,,,,,
qwen,512,590.68 s,300,10,,,,,,,,,,,,,,,
qwen,1024,605.05 s,300,10,,,,,,,,,,,,,,,
qwen,2048,595.55 s,300,10,,,,,,,,,,,,,,,
qwen,3072,611.19 s,300,10,,,,,,,,,,,,,,,
qwen,4096,618.39 s,300,10,,,,,,,,,,,,,,,
qwen,128,1223.86 s,300,15,,,,,,,,,,,,,,,
qwen,256,706.56 s,300,15,,,,,,,,,,,,,,,
qwen,512,596.56 s,300,15,,,,,,,,,,,,,,,
qwen,1024,603.76 s,300,15,,,,,,,,,,,,,,,
qwen,2048,610.97 s,300,15,,,,,,,,,,,,,,,
qwen,3072,619.98 s,300,15,,,,,,,,,,,,,,,
qwen,4096,621.54 s,300,15,,,,,,,,,,,,,,,
qwen,128,1215.07 s,300,20,,,,,,,,,,,,,,,
qwen,256,709.70 s,300,20,,,,,,,,,,,,,,,
qwen,512,597.72 s,300,20,,,,,,,,,,,,,,,
qwen,1024,606.29 s,300,20,,,,,,,,,,,,,,,
qwen,2048,608.41 s,300,20,,,,,,,,,,,,,,,
qwen,3072,618.34 s,300,20,,,,,,,,,,,,,,,
qwen,4096,617.04 s,300,20,,,,,,,,,,,,,,,
yi,128,1163.55 s,300,1,,,,,,,,,,,,,,,
yi,256,570.26 s,300,1,,,,,,,,,,,,,,,
yi,512,379.63 s,300,1,,,,,,,,,,,,,,,
yi,1024,334.21 s,300,1,,,,,,,,,,,,,,,
yi,2048,317.29 s,300,1,,,,,,,,,,,,,,,
yi,3072,308.44 s,300,1,,,,,,,,,,,,,,,
yi,4096,308.28 s,300,1,,,,,,,,,,,,,,,
