Dataset,Model,Sarathi-Serve,Chunk Size,Inference Time,Requests Count,Request Arrival Tiime,Request Throughput (req/s),Token Throughput (tokens/s),Output Token Throughput (output-tokens/s),ttft (p99),tpot (p99),Request Latency (p99),Preempted Requests Count,Total Preemption,Total Prefill Preemption,Total Decode Preemption,,vLLM with Preemption,Inference Time,Requests Count,Request Arrival Tiime,Request Throughput (req/s),Token Throughput (tokens/s),Output Token Throughput (output-tokens/s),ttft (p99),tpot(p99),Request Latency (p99),Preempted Requests Count,Total Preemption,Total Prefill Preemption,Total Decode Preemption
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 5 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 5 requests per second,,,,,,,,,,
,,,128,4061.54 s,1000,,0.24,2217.61,54.01,3835.35,0.063,3847.97,,,,,,,2211.74 s,1000,,0.45,4072.32,99.18,2006.18,0.16,2029.29,,,,
,,,256,2374.23 s,1000,,0.42,3793.61,92.39,2166.53,0.077,2180.66,,,,,,,,,,,,,,,,,,,
,,,512,1972.02 s,1000,,0.5,4567.36,111.24,1767.37,0.1,1787.13,,,,,,,,,,,,,,,,,,,
,,,1024,1991.70 s,1000,,0.5,4522.23,110.14,1789,0.13,1808.06,,,,,,,,,,,,,,,,,,,
,,,2048,2017.46 s,1000,,0.49,4464.48,108.73,1812.12,0.14,1832.41,,,,,,,,,,,,,,,,,,,
,,,3072,2049.96 s,1000,,0.48,4393.7,107.01,1845.01,0.14,1866.76,,,,,,,,,,,,,,,,,,,
,,,4096,2043.78 s,1000,,0.48,4406.99,107.33,1840.96,0.14,1862.21,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 10 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 10 requests per second,,,,,,,,,,
,,,128,4039.15 s,1000,,0.24,2229.9,54.31,3912.55,0.063,3925.14,,,,,,,2209.85 s,1000,,0.45,4075.8,99.27,2101.98,0.16,2125.04,,,,
,,,256,2351.79 s,1000,,0.42,3829.81,93.28,2242.78,0.077,2256.86,,,,,,,,,,,,,,,,,,,
,,,512,1960.81 s,1000,,0.5,4593.47,111.88,1853.69,0.1,1872.92,,,,,,,,,,,,,,,,,,,
,,,1024,2011.58 s,1000,,0.49,4477.53,109.05,1902.31,0.13,1922.58,,,,,,,,,,,,,,,,,,,
,,,2048,2027.46 s,1000,,0.49,4442.46,108.2,1922.44,0.14,1942.98,,,,,,,,,,,,,,,,,,,
,,,3072,2053.90 s,1000,,0.48,4385.27,106.8,1949.27,0.14,1970.17,,,,,,,,,,,,,,,,,,,
,,,4096,2049.92 s,1000,,0.48,4393.79,107.01,1943.47,0.14,1964.64,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 15 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 15 requests per second,,,,,,,,,,
,,,128,4079.93 s,1000,,0.24,2207.61,53.76,3986.89,0.064,3999.52,,,,,,,2207.77 s,1000,,0.45,4079.64,99.36,2131.83,0.16,2154.97,,,,
,,,256,2388.86 s,1000,,0.41,3770.38,91.83,2312.5,0.078,2326.84,,,,,,,,,,,,,,,,,,,
,,,512,1963.75 s,1000,,0.5,4586.59,111.71,1887.33,0.1,1906.65,,,,,,,,,,,,,,,,,,,
,,,1024,2013.69 s,1000,,0.49,4472.84,108.94,1941.29,0.13,1961.61,,,,,,,,,,,,,,,,,,,
,,,2048,2025.41 s,1000,,0.49,4446.96,108.31,1951.56,0.14,1972.2,,,,,,,,,,,,,,,,,,,
,,,3072,2049.37 s,1000,,0.48,4394.97,107.04,1975.53,0.14,1997.02,,,,,,,,,,,,,,,,,,,
,,,4096,2075.91 s,1000,,0.48,4338.78,105.67,1999.03,0.14,2020.44,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 20 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 20 requests per second,,,,,,,,,,
,,,128,4132.29 s,1000,,0.24,2179.64,53.08,4056.62,0.065,4069.45,,,,,,,2203.88 s,1000,,0.45,4086.84,99.54,2144.39,0.16,2167.48,,,,
,,,256,2385.91 s,1000,,0.41,3775.04,91.94,2325.62,0.078,2340.02,,,,,,,,,,,,,,,,,,,
,,,512,1977.16 s,1000,,0.5,4555.48,110.95,1918.83,0.1,1938.13,,,,,,,,,,,,,,,,,,,
,,,1024,1993.46 s,1000,,0.5,4518.23,110.04,1937.23,0.13,1957.52,,,,,,,,,,,,,,,,,,,
,,,2048,2031.66 s,1000,,0.49,4433.28,107.97,1975.33,0.14,1995.96,,,,,,,,,,,,,,,,,,,
,,,3072,2036.76 s,1000,,0.49,4422.18,107.7,1978.87,0.14,2000,,,,,,,,,,,,,,,,,,,
,,,4096,2065.05 s,1000,,0.48,4361.6,106.23,2003.96,0.14,2025.59,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,chunk_size: 1024,Sarathi Serve : 200 Requests,2017.04 s,gpu = .85,0 Preemption,,,,,,,,,,,,,,
