Sarathi,model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib,,,vLLM,model,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
,mixtral,3072,20,97.55,11.3523,0.127713,89.98018,3.075346,8134.249,1354.669,11.25263,0,39557,,,,,,,,,,,,,,,
,mixtral,4096,20,96.03,10.24062,0.137237,90.28564,3.124024,8263.001,1376.112,10.14188,0,39431,,,,,,,,,,,,,,,
,qwen,128,1,446.28,137.2277,0.077788,184.6608,0.672224,1778.023,296.1101,136.706,0,39569,,,vLLM,qwen,1,347.78,32.81512,0.130224,113.6075,0.862614,2281.603,379.9758,32.27952,3,40079
,qwen,256,1,340.99,27.93945,0.099144,98.58592,0.879791,2327.036,387.5422,27.22874,0,39761,,,,,,,,,,,,,,,
,qwen,512,1,336.35,20.25382,0.122314,99.15381,0.891928,2359.138,392.8884,19.70678,2,39951,,,,,,,,,,,,,,,
,qwen,1024,1,338.84,23.08816,0.123486,106.8847,0.885374,2341.801,390.0012,22.15371,4,39629,,,,,,,,,,,,,,,
,qwen,2048,1,340.27,23.50798,0.118417,106.4728,0.881653,2331.96,388.3622,23.28095,3,39623,,,,,,,,,,,,,,,
,qwen,3072,1,341.71,25.07131,0.122935,109.3666,0.877937,2322.133,386.7256,24.7388,4,39537,,,,,,,,,,,,,,,
,qwen,4096,1,343.96,27.77918,0.123316,111.3688,0.872194,2306.943,384.1958,27.39731,5,39477,,,,,,,,,,,,,,,
,qwen,128,5,429.86,343.0617,0.075841,377.0952,0.697902,1845.941,307.421,342.7931,0,39569,,,vLLM,qwen,5,338.29,240.0274,0.195364,286.1766,0.886813,2345.609,390.6353,239.7115,8,40415
,qwen,256,5,336.42,237.6965,0.102029,282.7395,0.891742,2358.647,392.8066,237.2347,0,39847,,,,,,,,,,,,,,,
,qwen,512,5,315.92,218.4657,0.120495,262.3344,0.949607,2511.699,418.2958,217.9766,5,39915,,,,,,,,,,,,,,,
,qwen,1024,5,327.9,230.7362,0.151353,274.9463,0.914913,2419.933,403.0131,230.2483,10,39653,,,,,,,,,,,,,,,
,qwen,2048,5,326.04,229.2137,0.180857,274.3497,0.920132,2433.738,405.3122,228.8484,10,39609,,,,,,,,,,,,,,,
,qwen,3072,5,319.28,221.233,0.177235,266.3199,0.939614,2485.267,413.8938,220.7375,13,39537,,,,,,,,,,,,,,,
,qwen,4096,5,332.6,234.3785,0.188977,279.882,0.901984,2385.737,397.3181,233.7785,12,39477,,,,,,,,,,,,,,,
,qwen,128,10,456.77,397.0285,0.079374,431.9797,0.656786,1737.189,289.3097,396.8798,0,39569,,,vLLM,qwen,10,333.89,263.3689,0.191335,306.9966,0.8985,2376.519,395.783,263.0539,8,40415
,qwen,256,10,333.5,263.2498,0.100486,304.7821,0.89955,2379.298,396.2459,263.0626,0,39847,,,,,,,,,,,,,,,
,qwen,512,10,322.31,252.0158,0.121728,294.8409,0.930781,2461.903,410.0028,251.6219,5,39915,,,,,,,,,,,,,,,
,qwen,1024,10,322.5,255.1258,0.148605,295.579,0.930233,2460.453,409.7612,254.8165,10,39653,,,,,,,,,,,,,,,
,qwen,2048,10,324.15,255.9851,0.178346,297.774,0.925497,2447.928,407.6755,255.6842,10,39609,,,,,,,,,,,,,,,
,qwen,3072,10,330.84,260.1788,0.183905,303.563,0.906783,2398.428,399.4317,259.8405,13,39537,,,,,,,,,,,,,,,
,qwen,4096,10,322.22,252.8401,0.188181,294.9513,0.931041,2462.591,410.1173,252.5497,12,39477,,,,,,,,,,,,,,,
,qwen,128,15,458.22,408.0498,0.078243,442.5622,0.654707,1731.692,288.3942,407.8989,0,39569,,,vLLM,qwen,15,332.09,273.1882,0.18965,314.3442,0.90337,2389.4,397.9283,272.873,8,40415
,qwen,256,15,330.13,270.56,0.101873,309.6988,0.908733,2403.586,400.2908,270.3802,0,39847,,,,,,,,,,,,,,,
,qwen,512,15,324.98,263.4149,0.122716,305.8244,0.923134,2441.676,406.6343,263.1934,5,39915,,,,,,,,,,,,,,,
,qwen,1024,15,321.83,263.0795,0.150097,302.9228,0.932169,2465.575,410.6143,262.8671,10,39653,,,,,,,,,,,,,,,
,qwen,2048,15,324.23,265.8625,0.176373,306.2575,0.925269,2447.324,407.5749,265.5902,10,39609,,,,,,,,,,,,,,,
,qwen,3072,15,330.29,269.7649,0.184312,311.3044,0.908293,2402.422,400.0969,269.4585,13,39537,,,,,,,,,,,,,,,
,qwen,4096,15,325.01,265.1042,0.183713,306.0368,0.923049,2441.451,406.5967,264.8361,12,39477,,,,,,,,,,,,,,,
,qwen,128,20,435.92,391.3898,0.075194,424.6282,0.6882,1820.279,303.1474,391.2393,0,39569,,,vLLM,qwen,20,339.23,282.4467,0.192547,324.6729,0.884356,2339.109,389.5528,282.132,8,40415
,qwen,256,20,326.58,273.0114,0.099265,310.3439,0.918611,2429.714,404.642,272.824,0,39847,,,,,,,,,,,,,,,
,qwen,512,20,322.11,266.0391,0.120533,307.0452,0.931359,2463.432,410.2574,265.8962,5,39915,,,,,,,,,,,,,,,
,qwen,1024,20,326.67,271.3553,0.151092,311.9813,0.918358,2429.045,404.5306,271.1352,10,39653,,,,,,,,,,,,,,,
,qwen,2048,20,327.41,272.7748,0.181162,313.367,0.916282,2423.555,403.6163,272.5113,10,39609,,,,,,,,,,,,,,,
,qwen,3072,20,323.84,269.4757,0.185989,309.0705,0.926383,2450.272,408.0657,269.1682,13,39537,,,,,,,,,,,,,,,
,qwen,4096,20,329.9,273.2549,0.188093,315.0531,0.909366,2405.262,400.5699,272.9857,12,39477,,,,,,,,,,,,,,,
,yi,128,1,404.83,96.86315,0.069666,143.0039,0.741052,1960.072,326.4284,96.27105,0,39583,,,vLLM,yi,1,312.44,1.876771,0.091582,74.35924,0.960184,2539.675,422.9548,1.516092,0,39683
,yi,256,1,311.01,3.419893,0.065412,59.43132,0.964599,2551.352,424.8995,2.656456,0,39573,,,,,,,,,,,,,,,
,yi,512,1,311.84,1.759254,0.069508,62.83184,0.962032,2544.561,423.7686,1.481662,0,39613,,,,,,,,,,,,,,,
,yi,1024,1,312.05,1.797074,0.07589,65.56325,0.961384,2542.849,423.4834,1.569671,0,39543,,,,,,,,,,,,,,,
,yi,2048,1,312.42,1.730369,0.083123,68.47279,0.960246,2539.837,422.9819,1.509552,0,39477,,,,,,,,,,,,,,,
,yi,3072,1,314.06,1.665314,0.085879,70.54185,0.955231,2526.575,420.7731,1.306205,0,39439,,,,,,,,,,,,,,,
