"TP=1, PP=1, 300 Request",model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib,,,vLLM,model,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
,mistral,3072,1,772.65,470.3065,0.358147,496.9981,0.388274,3472.883,86.09202,466.1415,0,39367,,,,,,,,,,,,,,,
,mistral,4096,1,814.59,511.79,0.388567,538.9119,0.368283,3294.078,81.65949,507.7959,0,39367,,,,,,,,,,,,,,,
,mistral,128,5,1030.91,958.8833,0.053132,968.6666,0.291005,2602.868,64.52455,952.349,0,39409,,,,mistral,5,975.95,898.6385,0.386432,921.1916,0.307393,2749.447,68.1582,893.3209,0,43569
,mistral,256,5,824.46,752.3407,0.084381,764.6999,0.363875,3254.643,80.6819,746.7564,0,39421,,,,,,,,,,,,,,,
,mistral,512,5,717.97,644.3741,0.144647,661.5077,0.417845,3737.375,92.64872,639.7392,0,39439,,,,,,,,,,,,,,,
,mistral,1024,5,722.24,646.7477,0.248114,667.4612,0.415374,3715.279,92.10096,642.3564,0,39383,,,,,,,,,,,,,,,
,mistral,2048,5,757,681.5105,0.314045,701.9337,0.396301,3544.68,87.87186,677.6201,0,39367,,,,,,,,,,,,,,,
,mistral,3072,5,770.32,694.8674,0.357218,715.2093,0.389449,3483.387,86.35242,690.7219,0,39367,,,,,,,,,,,,,,,
,mistral,4096,5,814.02,738.3466,0.38928,759.1708,0.368541,3296.385,81.71667,734.3354,0,39367,,,,,,,,,,,,,,,
,mistral,128,10,1040.48,996.8113,0.053558,1006.686,0.288328,2578.928,63.93107,990.2043,0,39409,,,,mistral,10,977.74,928.8191,0.387588,951.4988,0.30683,2744.414,68.03342,923.4925,0,43569
,mistral,256,10,817.58,773.8535,0.083551,785.9875,0.366937,3282.031,81.36085,768.322,0,39421,,,,,,,,,,,,,,,
,mistral,512,10,719.14,673.8485,0.144881,690.7853,0.417165,3731.294,92.49798,669.1917,0,39439,,,,,,,,,,,,,,,
,mistral,1024,10,722.32,675.1702,0.248401,695.4957,0.415328,3714.867,92.09076,670.7477,0,39383,,,,,,,,,,,,,,,
,mistral,2048,10,758.12,711.0576,0.314354,731.2729,0.395716,3539.444,87.74205,707.159,0,39367,,,,,,,,,,,,,,,
,mistral,3072,10,773.48,726.2862,0.358059,746.5973,0.387857,3469.156,85.99964,722.1311,0,39367,,,,,,,,,,,,,,,
,mistral,4096,10,816.04,768.5506,0.39008,789.2492,0.367629,3288.225,81.51439,764.542,0,39367,,,,,,,,,,,,,,,
,mistral,128,15,1030.66,996.4195,0.053033,1006.177,0.291076,2603.5,64.5402,989.8892,0,39409,,,,mistral,15,979.41,939.8911,0.387505,962.6382,0.306307,2739.734,67.91742,934.5691,0,43569
,mistral,256,15,822.03,787.7765,0.084049,800.0066,0.36495,3264.264,80.9204,782.1992,0,39421,,,,,,,,,,,,,,,
,mistral,512,15,719.26,683.5051,0.144823,700.3366,0.417095,3730.672,92.48255,678.851,0,39439,,,,,,,,,,,,,,,
,mistral,1024,15,724.3,686.5286,0.248716,706.9815,0.414193,3704.712,91.83902,682.1292,0,39383,,,,,,,,,,,,,,,
,mistral,2048,15,759.9,722.0253,0.315003,742.3482,0.394789,3531.153,87.53652,718.1229,0,39367,,,,,,,,,,,,,,,
,mistral,3072,15,772.94,735.2183,0.357761,755.4684,0.388128,3471.58,86.05972,731.0735,0,39367,,,,,,,,,,,,,,,
,mistral,4096,15,810.71,772.7753,0.387559,793.0936,0.370046,3309.843,82.0503,768.7786,0,39367,,,,,,,,,,,,,,,
,mistral,128,20,1029.45,999.9279,0.052925,1009.693,0.291418,2606.56,64.61606,993.3934,0,39409,,,,mistral,20,975.72,941.0158,0.386653,963.3833,0.307465,2750.095,68.17427,935.7017,0,43569
,mistral,256,20,823.2,793.6277,0.084133,805.9246,0.364431,3259.625,80.80539,788.0364,0,39421,,,,,,,,,,,,,,,
,mistral,512,20,712.71,681.8616,0.143403,698.3599,0.420929,3764.958,93.33249,677.2609,0,39439,,,,,,,,,,,,,,,
,mistral,1024,20,726.1,693.0484,0.249458,713.5292,0.413166,3695.528,91.61135,688.6116,0,39383,,,,,,,,,,,,,,,
,mistral,2048,20,761.19,728.2504,0.315724,748.5667,0.39412,3525.168,87.38817,724.3404,0,39367,,,,,,,,,,,,,,,
,mistral,3072,20,770.02,737.0472,0.356647,757.0034,0.3896,3484.745,86.38607,732.9016,0,39367,,,,,,,,,,,,,,,
,mistral,4096,20,814.12,780.895,0.389091,801.3219,0.368496,3295.98,81.70663,776.8862,0,39367,,,,,,,,,,,,,,,
,mixtral,128,1,341.61,53.77173,0.016729,57.38139,0.878194,7854.931,194.7221,51.71085,0,39347,,,,mixtral,1,287.85,1.705426,0.039614,11.8745,1.042209,9321.949,231.0891,1.38348,0,40245
,mixtral,256,1,288.05,3.573103,0.016992,8.747998,1.041486,9315.476,230.9287,2.884276,0,39349,,,,,,,,,,,,,,,
,mixtral,512,1,287.44,1.895294,0.019767,8.308791,1.043696,9335.246,231.4187,1.479728,0,39365,,,,,,,,,,,,,,,
,mixtral,1024,1,287.54,1.685371,0.024987,8.863305,1.043333,9331.999,231.3382,1.387947,0,39329,,,,,,,,,,,,,,,
,mixtral,2048,1,287.6,1.786284,0.02791,9.959084,1.043115,9330.052,231.29,1.489682,0,39403,,,,,,,,,,,,,,,
,mixtral,3072,1,287.47,1.755538,0.028216,9.660372,1.043587,9334.271,231.3946,1.438115,0,39399,,,,,,,,,,,,,,,
,mixtral,4096,1,287.6,1.633225,0.028421,9.82223,1.043115,9330.052,231.29,1.294577,0,39399,,,,,,,,,,,,,,,
,mixtral,128,5,340.15,279.3294,0.016691,282.5611,0.881964,7888.646,195.5578,277.264,0,39347,,,,mixtral,5,117.15,39.82249,0.84793,115.6724,2.560819,22905.02,567.8105,39.22033,0,40721
,mixtral,256,5,188.57,128.4003,0.018396,131.901,1.590921,14229.85,352.7549,127.2252,0,39347,,,,,,,,,,,,,,,
,mixtral,512,5,119.23,59.65058,0.023561,64.31643,2.516145,22505.43,557.9049,58.91885,0,39365,,,,,,,,,,,,,,,
,mixtral,1024,5,108.06,47.80983,0.042471,54.94317,2.776235,24831.79,615.5747,47.0822,0,39327,,,,,,,,,,,,,,,
,mixtral,2048,5,103.85,41.84849,0.080646,59.62983,2.888782,25838.45,640.5296,41.14103,0,39399,,,,,,,,,,,,,,,
,mixtral,3072,5,104.67,40.71231,0.122278,69.13573,2.866151,25636.03,635.5116,39.88086,0,39397,,,,,,,,,,,,,,,
,mixtral,4096,5,103.53,37.96976,0.158883,75.36437,2.897711,25918.31,642.5094,37.20008,0,39395,,,,,,,,,,,,,,,
,mixtral,128,10,339.85,307.5301,0.016614,310.7645,0.882742,7895.61,195.7305,305.458,0,39347,,,,mixtral,10,117.21,67.87216,0.847882,116.5994,2.559509,22893.29,567.5198,67.26898,0,40721
,mixtral,256,10,180.43,148.8875,0.017497,152.1734,1.662695,14871.82,368.6693,147.7702,0,39347,,,,,,,,,,,,,,,
,mixtral,512,10,119.83,88.49246,0.023667,93.00893,2.503547,22392.75,555.1114,87.76091,0,39365,,,,,,,,,,,,,,,
,mixtral,1024,10,110.9,78.90127,0.043784,85.31649,2.70514,24195.88,599.8106,78.15348,0,39327,,,,,,,,,,,,,,,
,mixtral,2048,10,105.48,71.67448,0.081937,82.65139,2.844141,25439.16,630.6314,70.95505,0,39399,,,,,,,,,,,,,,,
,mixtral,3072,10,103.18,67.80657,0.120294,83.36395,2.90754,26006.23,644.6889,66.98654,0,39397,,,,,,,,,,,,,,,
,mixtral,4096,10,103.3,66.15838,0.158623,86.16598,2.904163,25976.02,643.94,65.38981,0,39395,,,,,,,,,,,,,,,
,mixtral,128,15,353.93,330.9373,0.017381,334.3101,0.847625,7581.508,187.9439,328.7791,0,39347,,,,mixtral,15,117.3,77.45003,0.848763,116.9377,2.557545,22875.73,567.0844,76.84919,0,40721
,mixtral,256,15,179.21,157.178,0.017363,160.4385,1.674014,14973.07,371.1791,156.0651,0,39347,,,,,,,,,,,,,,,
,mixtral,512,15,123.91,101.9353,0.024573,106.6322,2.421112,21655.42,536.8332,101.1702,0,39365,,,,,,,,,,,,,,,
,mixtral,1024,15,108.39,85.95453,0.042589,91.46057,2.767783,24756.19,613.7005,85.22562,0,39327,,,,,,,,,,,,,,,
,mixtral,2048,15,103.83,79.6993,0.080703,87.99255,2.889338,25843.43,640.653,78.99296,0,39399,,,,,,,,,,,,,,,
,mixtral,3072,15,104.75,78.55596,0.122405,90.77096,2.863962,25616.45,635.0263,77.72675,0,39397,,,,,,,,,,,,,,,
,mixtral,4096,15,104.96,76.80941,0.161122,92.27932,2.858232,25565.2,633.7557,76.03041,0,39395,,,,,,,,,,,,,,,
,mixtral,128,20,360.52,342.0847,0.017744,345.5198,0.832131,7442.924,184.5085,339.889,0,39347,,,,mixtral,20,117.23,82.09916,0.848024,117.1041,2.559072,22889.39,567.423,81.49548,0,40721
,mixtral,256,20,177.69,160.3838,0.017241,163.6026,1.688334,15101.15,374.3542,159.2805,0,39347,,,,,,,,,,,,,,,
,mixtral,512,20,123.88,106.6645,0.024576,111.2835,2.421698,21660.66,536.9632,105.9051,0,39365,,,,,,,,,,,,,,,
,mixtral,1024,20,111.75,93.69802,0.044071,99.51102,2.684564,24011.84,595.2483,92.94538,0,39327,,,,,,,,,,,,,,,
,mixtral,2048,20,103.92,84.47791,0.080929,92.45274,2.886836,25821.05,640.0982,83.76879,0,39399,,,,,,,,,,,,,,,
,mixtral,3072,20,103.22,82.19083,0.120421,93.35649,2.906413,25996.15,644.4391,81.37532,0,39397,,,,,,,,,,,,,,,
,mixtral,4096,20,104.64,81.42046,0.159735,95.11267,2.866972,25643.38,635.6938,80.6365,0,39395,,,,,,,,,,,,,,,
,qwen,128,1,1636.67,1328.832,0.07631,1342.961,0.183299,1639.502,40.64289,1319.257,0,39417,,,,qwen,1,1744.69,1439.736,0.157017,1455.78,0.17195,1537.994,38.12654,1434.467,0,41259
,qwen,256,1,1509.58,1197.189,0.092421,1213.965,0.198731,1777.53,44.06457,1191.071,0,39417,,,,,,,,,,,,,,,
,qwen,512,1,1483.23,1171.333,0.119241,1190.825,0.202261,1809.108,44.84739,1166.747,1,39447,,,,,,,,,,,,,,,
,qwen,1024,1,1518.84,1206.462,0.134831,1227.504,0.197519,1766.692,43.79592,1202.463,2,39373,,,,,,,,,,,,,,,
,qwen,2048,1,1531.91,1219.337,0.135818,1240.808,0.195834,1751.619,43.42226,1215.592,3,39331,,,,,,,,,,,,,,,
,qwen,3072,1,1557.13,1243.531,0.134947,1265.474,0.192662,1723.249,42.71898,1239.692,1,39439,,,,,,,,,,,,,,,
,qwen,4096,1,1580.99,1267.406,0.138881,1289.491,0.189755,1697.242,42.07427,1263.533,1,39417,,,,,,,,,,,,,,,
,qwen,128,5,1626.8,1546.093,0.075404,1560.136,0.184411,1649.449,40.88948,1536.586,0,39417,,,,qwen,5,1751.99,1673.886,0.15771,1690.014,0.171234,1531.586,37.96768,1668.612,0,41259
,qwen,256,5,1518.52,1433.111,0.092933,1448.131,0.197561,1767.065,43.80515,1426.975,0,39417,,,,,,,,,,,,,,,
,qwen,512,5,1476.02,1391.105,0.116761,1408.352,0.203249,1817.945,45.06646,1386.531,1,39447,,,,,,,,,,,,,,,
,qwen,1024,5,1520.31,1435.019,0.135,1453.912,0.197328,1764.984,43.75358,1431.013,2,39373,,,,,,,,,,,,,,,
,qwen,2048,5,1533.26,1447.59,0.136032,1466.944,0.195662,1750.077,43.38403,1443.834,3,39331,,,,,,,,,,,,,,,
,qwen,3072,5,1557.67,1471.041,0.135063,1490.864,0.192595,1722.652,42.70417,1467.2,1,39439,,,,,,,,,,,,,,,
,qwen,4096,5,1580.45,1493.83,0.138799,1513.764,0.189819,1697.822,42.08865,1489.962,1,39417,,,,,,,,,,,,,,,
,qwen,128,10,1624.45,1572.133,0.075376,1586.14,0.184678,1651.835,40.94863,1562.639,0,39417,,,,qwen,10,1742.49,1692.908,0.156835,1708.946,0.172167,1539.936,38.17468,1687.638,0,41259
,qwen,256,10,1510.85,1453.752,0.092587,1468.684,0.198564,1776.035,44.02753,1447.648,0,39417,,,,,,,,,,,,,,,
,qwen,512,10,1484.49,1428.023,0.11909,1445.119,0.20209,1807.572,44.80933,1423.434,1,39447,,,,,,,,,,,,,,,
,qwen,1024,10,1512.85,1455.742,0.134583,1474.279,0.198301,1773.687,43.96933,1451.744,2,39373,,,,,,,,,,,,,,,
,qwen,2048,10,1533.62,1476.243,0.136003,1495.318,0.195616,1749.666,43.37385,1472.485,3,39331,,,,,,,,,,,,,,,
,qwen,3072,10,1558.84,1500.674,0.135184,1520.197,0.192451,1721.359,42.67212,1496.836,1,39439,,,,,,,,,,,,,,,
,qwen,4096,10,1589.41,1531.084,0.13946,1550.885,0.188749,1688.251,41.85138,1527.201,1,39417,,,,,,,,,,,,,,,
,qwen,128,15,1627.54,1584.614,0.076018,1598.646,0.184327,1648.699,40.87088,1575.108,0,39417,,,,qwen,15,1744.06,1703.985,0.157141,1720.036,0.172012,1538.55,38.14032,1698.712,0,41259
,qwen,256,15,1512.82,1465.252,0.092459,1480.197,0.198305,1773.723,43.9702,1459.131,0,39417,,,,,,,,,,,,,,,
,qwen,512,15,1487.02,1439.879,0.119467,1456.91,0.201746,1804.497,44.73309,1435.285,1,39447,,,,,,,,,,,,,,,
,qwen,1024,15,1514.08,1466.545,0.134557,1485.011,0.19814,1772.247,43.93361,1462.544,2,39373,,,,,,,,,,,,,,,
,qwen,2048,15,1533.27,1485.448,0.135881,1504.472,0.19566,1750.066,43.38375,1481.697,3,39331,,,,,,,,,,,,,,,
,qwen,3072,15,1558.35,1509.558,0.135204,1529.011,0.192511,1721.9,42.68553,1505.715,1,39439,,,,,,,,,,,,,,,
,qwen,4096,15,1581.18,1532.427,0.138978,1552.048,0.189732,1697.038,42.06921,1528.491,1,39417,,,,,,,,,,,,,,,
,qwen,128,20,1636.51,1598.251,0.07672,1612.355,0.183317,1639.662,40.64686,1588.696,0,39417,,,,qwen,20,1750.42,1715.056,0.157499,1731.183,0.171387,1532.96,38.00174,1709.781,0,41259
,qwen,256,20,1518.49,1475.537,0.09278,1490.55,0.197565,1767.1,43.80602,1469.39,0,39417,,,,,,,,,,,,,,,
,qwen,512,20,1490.18,1447.731,0.119544,1464.71,0.201318,1800.67,44.63823,1443.125,1,39447,,,,,,,,,,,,,,,
,qwen,1024,20,1511.9,1469.084,0.134471,1487.459,0.198426,1774.802,43.99696,1465.086,2,39373,,,,,,,,,,,,,,,
,qwen,2048,20,1546.69,1503.433,0.137491,1522.552,0.193963,1734.881,43.00733,1499.626,3,39331,,,,,,,,,,,,,,,
,qwen,3072,20,1559.03,1515.023,0.1352,1534.468,0.192427,1721.149,42.66691,1511.177,1,39439,,,,,,,,,,,,,,,
,qwen,4096,20,1590.65,1546.543,0.1395,1566.229,0.188602,1686.935,41.81875,1542.657,1,39417,,,,,,,,,,,,,,,
,yi,128,1,880.98,585.1884,0.04426,593.2481,0.34053,3045.839,75.50569,579.5563,0,39457,,,,yi,1,751.72,446.9478,0.772777,525.3734,0.399085,3569.578,88.48907,442.1412,0,41903
,yi,256,1,687.39,392.1008,0.069771,402.9983,0.436433,3903.64,96.77039,387.4643,0,39447,,,,,,,,,,,,,,,
,yi,512,1,560.8,265.4214,0.112211,280.2389,0.53495,4784.813,118.6145,261.7078,0,39339,,,,,,,,,,,,,,,
,yi,1024,1,552.71,254.7961,0.219149,290.2056,0.54278,4854.848,120.3506,250.9422,0,39399,,,,,,,,,,,,,,,
,yi,2048,1,554.69,251.8263,0.406166,330.2517,0.540843,4837.518,119.921,247.9466,0,39373,,,,,,,,,,,,,,,
,yi,3072,1,574.69,271.9687,0.536488,353.7019,0.522021,4669.166,115.7476,268.1887,0,39351,,,,,,,,,,,,,,,
,yi,4096,1,593.44,290.0138,0.583962,372.3548,0.505527,4521.642,112.0905,286.4818,0,39457,,,,,,,,,,,,,,,
,yi,128,5,878.07,809.5026,0.044148,817.5471,0.341658,3055.933,75.75592,803.8889,0,39457,,,,yi,5,752.38,674.5887,0.772685,700.7212,0.398735,3566.446,88.41144,669.7819,0,41903
,yi,256,5,687.78,619.5501,0.069862,628.9186,0.436186,3901.426,96.71552,614.917,0,39447,,,,,,,,,,,,,,,
,yi,512,5,563.1,494.6233,0.112564,507.3845,0.532765,4765.269,118.13,490.8917,0,39339,,,,,,,,,,,,,,,
,yi,1024,5,554.99,484.0202,0.220023,500.5115,0.54055,4834.903,119.8562,480.1385,0,39399,,,,,,,,,,,,,,,
,yi,2048,5,554.86,479.0081,0.406298,502.9746,0.540677,4836.036,119.8843,475.1255,0,39373,,,,,,,,,,,,,,,
,yi,3072,5,576.33,500.5754,0.536897,525.5019,0.520535,4655.879,115.4182,496.7912,0,39351,,,,,,,,,,,,,,,
,yi,4096,5,594.05,517.5894,0.583989,543.5423,0.505008,4516.999,111.9754,514.0583,0,39457,,,,,,,,,,,,,,,
,yi,128,10,891.35,850.8433,0.045091,859.0065,0.336568,3010.403,74.62725,845.1436,0,39457,,,,yi,10,752.45,703.1933,0.773753,726.6962,0.398698,3566.115,88.40322,698.3887,0,41903
,yi,256,10,694.62,654.6656,0.070715,664.1651,0.431891,3863.009,95.76315,649.9708,0,39447,,,,,,,,,,,,,,,
,yi,512,10,558.7,518.5917,0.111916,530.8563,0.536961,4802.798,119.0603,514.8909,0,39339,,,,,,,,,,,,,,,
,yi,1024,10,554.85,512.3968,0.220012,528.2143,0.540687,4836.123,119.8865,508.523,0,39399,,,,,,,,,,,,,,,
,yi,2048,10,554.93,507.3994,0.406513,529.4629,0.540609,4835.426,119.8692,503.5166,0,39369,,,,,,,,,,,,,,,
,yi,3072,10,575.03,527.5959,0.536624,549.5529,0.521712,4666.405,115.6792,523.8122,0,39351,,,,,,,,,,,,,,,
,yi,4096,10,594.53,546.5007,0.583835,569.1298,0.5046,4513.352,111.885,542.9639,0,39457,,,,,,,,,,,,,,,
,yi,128,15,891.11,860.0847,0.044893,868.253,0.336659,3011.214,74.64735,854.3995,0,39457,,,,yi,15,752.38,712.3844,0.773464,734.7644,0.398735,3566.446,88.41144,707.5847,0,41903
,yi,256,15,688.14,657.6573,0.069897,667.0164,0.435958,3899.385,96.66492,653.0212,0,39447,,,,,,,,,,,,,,,
,yi,512,15,559.62,528.9603,0.112008,541.1293,0.536078,4794.902,118.8646,525.2519,0,39339,,,,,,,,,,,,,,,
,yi,1024,15,553.18,520.153,0.219861,535.6342,0.542319,4850.723,120.2484,516.2859,0,39399,,,,,,,,,,,,,,,
,yi,2048,15,555.8,517.7672,0.406929,538.4646,0.539763,4827.857,119.6815,513.8799,0,39373,,,,,,,,,,,,,,,
,yi,3072,15,578.43,540.3077,0.538261,561.5937,0.518645,4638.976,114.9992,536.5073,0,39351,,,,,,,,,,,,,,,
,yi,4096,15,594.98,556.3535,0.583921,577.978,0.504219,4509.938,111.8004,552.815,0,39457,,,,,,,,,,,,,,,
,yi,128,20,881.94,855.8613,0.044439,863.9015,0.340159,3042.523,75.4235,850.2419,0,39457,,,,yi,20,753.04,717.9227,0.773781,739.5645,0.398385,3563.321,88.33395,713.1119,0,41903
,yi,256,20,690.26,664.5491,0.070308,673.9154,0.434619,3887.409,96.36804,659.9118,0,39447,,,,,,,,,,,,,,,
,yi,512,20,563.07,537.1004,0.112908,549.4394,0.532793,4765.523,118.1363,533.3664,0,39339,,,,,,,,,,,,,,,
,yi,1024,20,556.27,527.7552,0.220752,543.4631,0.539306,4823.778,119.5804,523.8616,0,39399,,,,,,,,,,,,,,,
,yi,2048,20,555.74,522.4383,0.407069,542.3738,0.539821,4828.378,119.6945,518.5467,0,39373,,,,,,,,,,,,,,,
,yi,3072,20,575.73,542.4649,0.536726,562.6877,0.521078,4660.732,115.5385,538.6683,0,39351,,,,,,,,,,,,,,,
,yi,4096,20,597.69,563.6634,0.585315,584.898,0.501932,4489.49,111.2935,560.1169,0,39457,,,,,,,,,,,,,,,
