"TP=1, PP=2, 300 Request",model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib,,,vLLM,model,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
,yi,4096,5,235.51,155.5103,0.486242,201.6433,1.273831,11393.67,282.4466,153.2388,0,39908,,,,,,,,,,,,,,,
,yi,128,10,523.45,483.6506,0.055227,494.6571,0.573121,5126.226,127.078,478.9765,0,39916,,,,yi,10,351.73,288.6122,0.818516,334.5825,0.852927,7628.928,189.1195,286.6757,0,42606
,yi,256,10,334.8,297.4231,0.06791,310.2166,0.896057,8014.704,198.6828,294.4756,0,39920,,,,,,,,,,,,,,,
,yi,512,10,247.28,208.9392,0.095145,224.6193,1.2132,10851.35,269.0027,206.6997,0,39996,,,,,,,,,,,,,,,
,yi,1024,10,246.65,203.1172,0.184323,225.6702,1.216298,10879.07,269.6898,200.5652,0,39894,,,,,,,,,,,,,,,
,yi,2048,10,232.33,181.9137,0.338173,215.2298,1.291267,11549.62,286.3126,179.4459,0,39934,,,,,,,,,,,,,,,
,yi,3072,10,223.75,172.2452,0.392372,206.7911,1.340782,11992.51,297.2916,170.2015,0,39924,,,,,,,,,,,,,,,
,yi,4096,10,234.88,182.9931,0.483429,217.7322,1.277248,11424.23,283.2042,180.7419,0,39908,,,,,,,,,,,,,,,
,yi,128,15,547.06,518.1429,0.05675,529.1759,0.548386,4904.988,121.5936,513.1524,0,39916,,,,yi,15,349.01,297.1401,0.809997,337.9116,0.859574,7688.384,190.5934,294.7732,0,42606
,yi,256,15,336.89,309.5399,0.066753,322.4239,0.890498,7964.983,197.4502,306.6447,0,39920,,,,,,,,,,,,,,,
,yi,512,15,246.63,217.4236,0.094706,233.0118,1.216397,10879.95,269.7117,215.1229,0,39996,,,,,,,,,,,,,,,
,yi,1024,15,245.97,211.613,0.184603,233.2251,1.219661,10909.15,270.4354,209.0068,0,39894,,,,,,,,,,,,,,,
,yi,2048,15,234.22,192.488,0.339811,223.3027,1.280847,11456.42,284.0022,190.033,0,39934,,,,,,,,,,,,,,,
,yi,3072,15,224.84,181.2763,0.394785,213.9187,1.334282,11934.37,295.8504,179.2319,0,39924,,,,,,,,,,,,,,,
,yi,4096,15,253.46,212.0503,0.537693,244.1119,1.183619,10586.77,262.4438,209.5939,0,39908,,,,,,,,,,,,,,,
,yi,128,20,539.06,514.5148,0.055292,525.2317,0.556524,4977.782,123.3981,509.9054,0,39916,,,,yi,20,352,303.7734,0.827313,345.486,0.852273,7623.077,188.9744,301.8384,0,42606
,yi,256,20,343.27,318.9351,0.070232,333.2808,0.873948,7816.946,193.7804,315.7855,0,39920,,,,,,,,,,,,,,,
,yi,512,20,248.33,222.6957,0.096244,238.8951,1.20807,10805.47,267.8653,220.4177,0,39996,,,,,,,,,,,,,,,
,yi,1024,20,244.73,215.1875,0.183907,235.7442,1.225841,10964.42,271.8057,212.6122,0,39894,,,,,,,,,,,,,,,
,yi,2048,20,233.82,196.5143,0.335569,226.5677,1.283038,11476.02,284.4881,194.0903,0,39934,,,,,,,,,,,,,,,
,yi,3072,20,225.6,187.0866,0.396502,218.7852,1.329787,11894.16,294.8537,185.1904,0,39924,,,,,,,,,,,,,,,
,yi,4096,20,234.99,197.3258,0.483294,227.9562,1.27665,11418.88,283.0716,195.0794,0,39908,,,,,,,,,,,,,,,
